"subj","distal","proximal","moral","time","vign","outcome","agent"
"R_e4jV9zodiwECgXa","7","5","7","39.645","Construction","bad","Object"
"R_cUTO2Imdsv58fFa","5","5","5","46.749","Construction","bad","Object"
"R_eEUH0Kio4l4KXs0","7","7","6","200.395","Construction","bad","Object"
"R_3jSqilGL3FipwVu","1","1","1","54.349","Construction","bad","Object"
"R_e3xGwUqDSPmAt2k","5","6","6","93.132","Construction","bad","Object"
"R_835OmfsuznARoBm","3","5","3","40.345","Construction","bad","Object"
"R_3TXPR3LMM6mMNFi","7","7","7","47.52","Construction","bad","Object"
"R_eCCHaO6IoNoXqcc","5","7","5","30.714","Construction","bad","Object"
"R_298IoVHEnpjodHS","6","5","6","41.726","Construction","bad","Object"
"R_bgczkyfo290cpiA","4","5","5","35.833","Construction","bad","Object"
"R_8prpNraQI1m9kQ4","6","6","6","46.815","Construction","bad","Object"
"R_0Aiww6LdWzdeqXO","7","7","7","50.257","Construction","bad","Object"
"R_9nOrn0b742iWhBq","5","6","5","51.511","Construction","bad","Object"
"R_1XoBstDU3Womplq","4","6","5","110.414","Construction","bad","Object"
