"subj","condCode","response","norm","outcome","knowledge","scenario"
"R_2YzbJ65NT9mHagv","Q1.RKB","2","rationality","Bad","Knowledge",1
"R_31Y2IkuEiETOf8C","Q1.RKB","1","rationality","Bad","Knowledge",1
"R_1hFLyxPsKfKTcS1","Q1.RKB","1","rationality","Bad","Knowledge",1
"R_1JJuP7i7ZACFdby","Q1.RKB","2","rationality","Bad","Knowledge",1
"R_ufCDTRHutMvLVYJ","Q1.RKB","2","rationality","Bad","Knowledge",1
"R_25vDMx6HgnIRo3y","Q1.RKB","1","rationality","Bad","Knowledge",1
"R_sTfc3NCdOqjMUx3","Q1.RKB","1","rationality","Bad","Knowledge",1
"R_1qUljBUmOGoYLQr","Q1.RKB","1","rationality","Bad","Knowledge",1
"R_erIbE7gfkKmR9fj","Q1.RKB","1","rationality","Bad","Knowledge",1
"R_3MsrUAn2xGEkFJM","Q1.RKB","1","rationality","Bad","Knowledge",1
"R_3Ej2u6SvghKqkgP","Q1.RKB","2","rationality","Bad","Knowledge",1
"R_1dmZuqwrIfB4Fqb","Q1.RKB","1","rationality","Bad","Knowledge",1
"R_2usJKYN2fxmGaqr","Q1.RKB","1","rationality","Bad","Knowledge",1
"R_3fTcfMmuGswY4dz","Q1.RKB","2","rationality","Bad","Knowledge",1
"R_3fldJZ2PizyODxX","Q1.RKB","1","rationality","Bad","Knowledge",1
"R_D8guIEc06taGiEF","Q1.RKB","2","rationality","Bad","Knowledge",1
"R_23d8E2wMMxSEzHE","Q1.RKB","1","rationality","Bad","Knowledge",1
"R_8owwVaLumTS8iPj","Q1.RKB","1","rationality","Bad","Knowledge",1
"R_3kpDHCggGacuKmR","Q1.RKB","1","rationality","Bad","Knowledge",1
"R_1EhPsVv4ttckcIz","Q1.RKB","2","rationality","Bad","Knowledge",1
"R_UKKZXBCkHsL6wAp","Q1.RKB","1","rationality","Bad","Knowledge",1
"R_6gUOzZ0mgs7Cf5v","Q1.RKB","2","rationality","Bad","Knowledge",1
"R_1eEJStFdisOROjv","Q1.RKB","1","rationality","Bad","Knowledge",1
"R_3j7OCKG1TXGVyzG","Q1.RKB","2","rationality","Bad","Knowledge",1
"R_1r6YGajmAYrZrcm","Q1.RKB","1","rationality","Bad","Knowledge",1
"R_2arw02fvwE0edbf","Q1.RIB","2","rationality","Bad","Ignorance",1
"R_1dzwZ5p60NfCRbx","Q1.RIB","1","rationality","Bad","Ignorance",1
"R_1H74FkHSxEHhV1E","Q1.RIB","1","rationality","Bad","Ignorance",1
"R_2rjQ9EMQl6DNbyZ","Q1.RIB","2","rationality","Bad","Ignorance",1
"R_urC808lhWrMFmzD","Q1.RIB","1","rationality","Bad","Ignorance",1
"R_2R8JI0SydRmUCQ0","Q1.RIB","2","rationality","Bad","Ignorance",1
"R_Zt97GexYmGMFelb","Q1.RIB","2","rationality","Bad","Ignorance",1
"R_2wSnWZJfwAqLkQC","Q1.RIB","2","rationality","Bad","Ignorance",1
"R_2SpGlzmszUawD2y","Q1.RIB","2","rationality","Bad","Ignorance",1
"R_1E0zPfS61A1p93v","Q1.RIB","2","rationality","Bad","Ignorance",1
"R_4ZP6AOr2gTGNbJ7","Q1.RIB","2","rationality","Bad","Ignorance",1
"R_eIDGsOtzwTFr2ox","Q1.RIB","1","rationality","Bad","Ignorance",1
"R_C2JjFzpEIeyXnPj","Q1.RIB","2","rationality","Bad","Ignorance",1
"R_3Dd1dIpubB6TP2e","Q1.RIB","2","rationality","Bad","Ignorance",1
"R_etyun6P1xxEsVK9","Q1.RIB","2","rationality","Bad","Ignorance",1
"R_OBSlSrQ1Id9FADD","Q1.RIB","2","rationality","Bad","Ignorance",1
"R_1qerst5YIleBPLi","Q1.RIB","2","rationality","Bad","Ignorance",1
"R_3fkl3wT610dOBrJ","Q1.RIB","2","rationality","Bad","Ignorance",1
"R_2rwiUa7MJbiTWi5","Q1.RIB","1","rationality","Bad","Ignorance",1
"R_12s5VWgPdrearCX","Q1.RIB","2","rationality","Bad","Ignorance",1
"R_9QuuwMPT5qU2Dbr","Q1.RIB","2","rationality","Bad","Ignorance",1
"R_1dixcU1N1oMboCG","Q1.RIB","2","rationality","Bad","Ignorance",1
"R_3rYv2fNPGChgnD4","Q1.RIB","2","rationality","Bad","Ignorance",1
"R_1HcTQSsle1b5W9Z","Q1.RIB","1","rationality","Bad","Ignorance",1
"R_3nUYaOw2h71wunw","Q1.RIB","2","rationality","Bad","Ignorance",1
"R_z0uRN61qIEUuR3P","Q1.RIB","2","rationality","Bad","Ignorance",1
"R_YRfOZy6uUd9c7rr","Q1.MKB","1","morality","Bad","Knowledge",1
"R_2dZtqvnBTBWdN3H","Q1.MKB","1","morality","Bad","Knowledge",1
"R_Zre2wGPfMk35rod","Q1.MKB","2","morality","Bad","Knowledge",1
"R_3gLBFQ7583G1ouc","Q1.MKB","2","morality","Bad","Knowledge",1
"R_2v2hw2cMU99VkDD","Q1.MKB","2","morality","Bad","Knowledge",1
"R_viBzEheQF4dRkS5","Q1.MKB","1","morality","Bad","Knowledge",1
"R_pKOvRWAGi36ho41","Q1.MKB","2","morality","Bad","Knowledge",1
"R_1isv3Eyt5leZXz3","Q1.MKB","2","morality","Bad","Knowledge",1
"R_2VO6tEjBWzxv1qT","Q1.MKB","2","morality","Bad","Knowledge",1
"R_XHvdAnwym6hCVMJ","Q1.MKB","2","morality","Bad","Knowledge",1
"R_2Wv8WsI5IyNGn8s","Q1.MKB","1","morality","Bad","Knowledge",1
"R_1rJFYYnm1Llcp2n","Q1.MKB","1","morality","Bad","Knowledge",1
"R_3l8Uvxkomb3yHLD","Q1.MKB","2","morality","Bad","Knowledge",1
"R_2S2duEBgZlNcO3q","Q1.MKB","1","morality","Bad","Knowledge",1
"R_1F32BFpAyAFvVro","Q1.MKB","2","morality","Bad","Knowledge",1
"R_3PSPuAjXOGLT0n7","Q1.MKB","1","morality","Bad","Knowledge",1
"R_2YgEHZER2KaSsJs","Q1.MKB","1","morality","Bad","Knowledge",1
"R_214WjB6MJaAGLKJ","Q1.MKB","1","morality","Bad","Knowledge",1
"R_3fkNpAQgLjHI1iL","Q1.MKB","2","morality","Bad","Knowledge",1
"R_1Q3Y3griXe3qHnc","Q1.MKB","2","morality","Bad","Knowledge",1
"R_2ZHMzvy2HuSkU0r","Q1.MKB","1","morality","Bad","Knowledge",1
"R_cAPmADXRHOXztSN","Q1.MKB","1","morality","Bad","Knowledge",1
"R_9HwOwrBwwMbajYt","Q1.MKB","1","morality","Bad","Knowledge",1
"R_1FxKPezsZbnBuFk","Q1.MKB","1","morality","Bad","Knowledge",1
"R_Pvs9Ob5kC8WRNkZ","Q1.MKB","1","morality","Bad","Knowledge",1
"R_1rAil9iM3uuajRO","Q1.MIB","2","morality","Bad","Ignorance",1
"R_1Igbakmew1f6LJu","Q1.MIB","1","morality","Bad","Ignorance",1
"R_3mjx1vchBZ5ELOC","Q1.MIB","2","morality","Bad","Ignorance",1
"R_12QfCLXEQhxfWoU","Q1.MIB","1","morality","Bad","Ignorance",1
"R_sNLCfzyhj0C6fDP","Q1.MIB","2","morality","Bad","Ignorance",1
"R_1LHyPswdsIaXhxR","Q1.MIB","2","morality","Bad","Ignorance",1
"R_297gdj5DMLYhOsh","Q1.MIB","2","morality","Bad","Ignorance",1
"R_3Db78Lm5ZIII1JV","Q1.MIB","2","morality","Bad","Ignorance",1
"R_3qrgt3uN1orLQ7U","Q1.MIB","1","morality","Bad","Ignorance",1
"R_Tkh345DEf2RcOBz","Q1.MIB","2","morality","Bad","Ignorance",1
"R_24FLYlYvRP1AiOM","Q1.MIB","2","morality","Bad","Ignorance",1
"R_2U4L3NLbOTnuxxB","Q1.MIB","1","morality","Bad","Ignorance",1
"R_3fjXJiVog897OTE","Q1.MIB","2","morality","Bad","Ignorance",1
"R_6zD9vdwQaQVvfM1","Q1.MIB","2","morality","Bad","Ignorance",1
"R_3Hiy3lnGOyNOIQK","Q1.MIB","2","morality","Bad","Ignorance",1
"R_26hgMm9B09Xe7Wk","Q1.MIB","2","morality","Bad","Ignorance",1
"R_3JL7cqJFJtMQMZM","Q1.MIB","1","morality","Bad","Ignorance",1
"R_exMaNqVuVMuKyxr","Q1.MIB","1","morality","Bad","Ignorance",1
"R_2QPuvmtMknIENPl","Q1.MIB","2","morality","Bad","Ignorance",1
"R_cGFhb2noJ7lS94R","Q1.MIB","2","morality","Bad","Ignorance",1
"R_1N35cRRGR4E3uLI","Q1.MIB","2","morality","Bad","Ignorance",1
"R_1FVmEUPZ3Mf74Gt","Q1.MIB","1","morality","Bad","Ignorance",1
"R_2OI8rHDtYUfbZAM","Q1.MIB","2","morality","Bad","Ignorance",1
"R_2WPufpDRY0mEsNf","Q1.MIB","2","morality","Bad","Ignorance",1
"R_aXdVb1OyOWNelcR","Q1.MIB","1","morality","Bad","Ignorance",1
"R_29gZY78cWmLuSVa","Q1.RKG","1","rationality","Good","Knowledge",1
"R_1jwbgefmcMf8RI2","Q1.RKG","1","rationality","Good","Knowledge",1
"R_3LXDud0GwTjSMR0","Q1.RKG","1","rationality","Good","Knowledge",1
"R_yTLvJWCZM8JSbzb","Q1.RKG","1","rationality","Good","Knowledge",1
"R_3JEGYEHdPBFUpIK","Q1.RKG","1","rationality","Good","Knowledge",1
"R_SPQmo11QfvavNoR","Q1.RKG","2","rationality","Good","Knowledge",1
"R_2zqek4kO2u6gWvR","Q1.RKG","1","rationality","Good","Knowledge",1
"R_2ZIT9WWvOSJD4MX","Q1.RKG","1","rationality","Good","Knowledge",1
"R_1NgFcADe0NXXlW6","Q1.RKG","1","rationality","Good","Knowledge",1
"R_9pJfYokXD7NLclj","Q1.RKG","2","rationality","Good","Knowledge",1
"R_3EvaxO5IfLPdamr","Q1.RKG","1","rationality","Good","Knowledge",1
"R_DCDcKKNtVabs0gx","Q1.RKG","2","rationality","Good","Knowledge",1
"R_yHGcsELkjw1rNn3","Q1.RKG","2","rationality","Good","Knowledge",1
"R_1M65CVtuebXn6KR","Q1.RKG","1","rationality","Good","Knowledge",1
"R_BLfHJ8b0SWYJPsB","Q1.RKG","2","rationality","Good","Knowledge",1
"R_BMt6NhCDEuBcRs5","Q1.RKG","1","rationality","Good","Knowledge",1
"R_2VL6GKOrGVSHBg4","Q1.RKG","1","rationality","Good","Knowledge",1
"R_2ON2AB8H3OpSKm8","Q1.RKG","1","rationality","Good","Knowledge",1
"R_AAKD1XRCjIozCxj","Q1.RKG","2","rationality","Good","Knowledge",1
"R_2qra0hlauy54r9I","Q1.RKG","2","rationality","Good","Knowledge",1
"R_3KrrhQHv5txRxqF","Q1.RKG","1","rationality","Good","Knowledge",1
"R_3gMEpLBVaR2xDe1","Q1.RKG","2","rationality","Good","Knowledge",1
"R_WkQH6Sb65YbogTf","Q1.RKG","1","rationality","Good","Knowledge",1
"R_6xOgjjY4VZFZes9","Q1.RKG","1","rationality","Good","Knowledge",1
"R_2UYM4PSbiyJmjkh","Q1.RKG","2","rationality","Good","Knowledge",1
"R_2D8Kf7hPRFbrmV4","Q1.RKG","2","rationality","Good","Knowledge",1
"R_2tMdGdjVe17nBDt","Q1.RIG","1","rationality","Good","Ignorance",1
"R_1Q56a0BgSTqTkRd","Q1.RIG","2","rationality","Good","Ignorance",1
"R_3PELcJT287RTW0z","Q1.RIG","2","rationality","Good","Ignorance",1
"R_2BgPCqjhDSDwebX","Q1.RIG","2","rationality","Good","Ignorance",1
"R_1EYTp4w46OyhCmo","Q1.RIG","2","rationality","Good","Ignorance",1
"R_2reUmYzDE3ma38B","Q1.RIG","2","rationality","Good","Ignorance",1
"R_40i5GG4NcfPXmFj","Q1.RIG","1","rationality","Good","Ignorance",1
"R_3CUihRFtoCs4CdW","Q1.RIG","2","rationality","Good","Ignorance",1
"R_237awkhpgFaMb4e","Q1.RIG","1","rationality","Good","Ignorance",1
"R_2wdAi2Br036nb0x","Q1.RIG","2","rationality","Good","Ignorance",1
"R_22FYijS5cRyDKVy","Q1.RIG","1","rationality","Good","Ignorance",1
"R_2QG9fymIn9yjMYO","Q1.RIG","2","rationality","Good","Ignorance",1
"R_O3yEhxg1BHcbi9j","Q1.RIG","2","rationality","Good","Ignorance",1
"R_yUwJZsL0gpE2Ndn","Q1.RIG","1","rationality","Good","Ignorance",1
"R_2dRscYaUyAC220V","Q1.RIG","1","rationality","Good","Ignorance",1
"R_2ggAwkWBQKkDcKR","Q1.RIG","1","rationality","Good","Ignorance",1
"R_2xxRJrZryENyNCC","Q1.RIG","2","rationality","Good","Ignorance",1
"R_12o3n1C1uCFnbTk","Q1.RIG","2","rationality","Good","Ignorance",1
"R_1kHLS3K1DMUPZSn","Q1.RIG","1","rationality","Good","Ignorance",1
"R_2t9Tv7OY1RP1Mmg","Q1.RIG","2","rationality","Good","Ignorance",1
"R_3RsXKaNWUT7TiBF","Q1.RIG","1","rationality","Good","Ignorance",1
"R_oY7WzPlSWPY0OQh","Q1.RIG","2","rationality","Good","Ignorance",1
"R_3NUQ32EkN6ROPNY","Q1.RIG","2","rationality","Good","Ignorance",1
"R_2tb2YKd4hPKb0Ty","Q1.RIG","2","rationality","Good","Ignorance",1
"R_1dlU4Sc5IEBdAhw","Q1.RIG","2","rationality","Good","Ignorance",1
"R_TnN90ewxdEWHzA5","Q1.MKG","1","morality","Good","Knowledge",1
"R_1qeWyXjLjMoMy0s","Q1.MKG","1","morality","Good","Knowledge",1
"R_dmnAIEC7Ad9gAVD","Q1.MKG","1","morality","Good","Knowledge",1
"R_3DcHZv4Itf1OOYn","Q1.MKG","1","morality","Good","Knowledge",1
"R_3R2AWOxC7hWjNqj","Q1.MKG","2","morality","Good","Knowledge",1
"R_2CwR7eHcvokbNsI","Q1.MKG","1","morality","Good","Knowledge",1
"R_25zuDzeoLn3448l","Q1.MKG","2","morality","Good","Knowledge",1
"R_3lRGuwnb28A0z8E","Q1.MKG","2","morality","Good","Knowledge",1
"R_291bcJyLj97PVxP","Q1.MKG","1","morality","Good","Knowledge",1
"R_3PFuM7kKwr4wb0y","Q1.MKG","2","morality","Good","Knowledge",1
"R_2V3ZEbsGB7I5t58","Q1.MKG","1","morality","Good","Knowledge",1
"R_3k0PhdHRzw8dgKw","Q1.MKG","2","morality","Good","Knowledge",1
"R_3jThMPE7sc03Kux","Q1.MKG","1","morality","Good","Knowledge",1
"R_2fpSRZUNqmFvZ13","Q1.MKG","2","morality","Good","Knowledge",1
"R_ZfrM1AHstfjRe0N","Q1.MKG","1","morality","Good","Knowledge",1
"R_3G9fT546ey96hrQ","Q1.MKG","2","morality","Good","Knowledge",1
"R_prARRf5YMvhEwEN","Q1.MKG","1","morality","Good","Knowledge",1
"R_2fGN17Nm7L4fHU8","Q1.MKG","2","morality","Good","Knowledge",1
"R_eWIqwZTxAKgzSwh","Q1.MKG","2","morality","Good","Knowledge",1
"R_1o0urljC4DDcDmD","Q1.MKG","1","morality","Good","Knowledge",1
"R_3MR6ex9DPkGVXBn","Q1.MKG","1","morality","Good","Knowledge",1
"R_3n6O7b7j1buyDz1","Q1.MKG","1","morality","Good","Knowledge",1
"R_RJfOs15S5slmYVP","Q1.MKG","1","morality","Good","Knowledge",1
"R_819BvjnOuczUrzv","Q1.MKG","1","morality","Good","Knowledge",1
"R_urh0bbQnYKqZC9j","Q1.MIG","1","morality","Good","Ignorance",1
"R_2ruRWfY1srJPt9Y","Q1.MIG","1","morality","Good","Ignorance",1
"R_0pnISAB21WFviCZ","Q1.MIG","1","morality","Good","Ignorance",1
"R_1nO67HdszxSQ3kR","Q1.MIG","2","morality","Good","Ignorance",1
"R_3sn9fej8mQJvHPD","Q1.MIG","2","morality","Good","Ignorance",1
"R_1fjejFI4WD8LEme","Q1.MIG","2","morality","Good","Ignorance",1
"R_3fSDWmEJK0nBhYH","Q1.MIG","2","morality","Good","Ignorance",1
"R_2ckGyiW1LUA23e4","Q1.MIG","2","morality","Good","Ignorance",1
"R_2VIONkeZj0Of7gg","Q1.MIG","2","morality","Good","Ignorance",1
"R_1obgbdW7tDbvzdC","Q1.MIG","2","morality","Good","Ignorance",1
"R_ugl7EIQljfxUwFP","Q1.MIG","2","morality","Good","Ignorance",1
"R_3oAy4hgXJ1P6spF","Q1.MIG","2","morality","Good","Ignorance",1
"R_2q7QWLHOYQzMrIR","Q1.MIG","1","morality","Good","Ignorance",1
"R_2BtFCeJEWbCnCXh","Q1.MIG","2","morality","Good","Ignorance",1
"R_1f9sVj8oK22Kn7n","Q1.MIG","2","morality","Good","Ignorance",1
"R_3PhSp43NynPctZK","Q1.MIG","1","morality","Good","Ignorance",1
"R_7PAgh6QKf38Ods5","Q1.MIG","1","morality","Good","Ignorance",1
"R_3kn8tL3JGGHyzPi","Q1.MIG","2","morality","Good","Ignorance",1
"R_3rIqCSFrAsZ7u4d","Q1.MIG","1","morality","Good","Ignorance",1
"R_2dpggEjUZx1i0w8","Q1.MIG","2","morality","Good","Ignorance",1
"R_2ZNteU1WE2bmHFL","Q1.MIG","1","morality","Good","Ignorance",1
"R_YbLDHwJDAH3MVvr","Q1.MIG","2","morality","Good","Ignorance",1
"R_vUorWU9Ixigf8Qh","Q1.MIG","2","morality","Good","Ignorance",1
"R_eaICbnGbjkrIJY5","Q1.MIG","1","morality","Good","Ignorance",1
"R_e3ukhtSJpqQF9Id","Q1.MIG","2","morality","Good","Ignorance",1
"R_3elmQ52YbmHk9gZ","Q1.MIG","1","morality","Good","Ignorance",1
"R_2YzbJ65NT9mHagv","Q2.RKB","2","rationality","Bad","Knowledge",2
"R_3DcHZv4Itf1OOYn","Q2.RKB","1","rationality","Bad","Knowledge",2
"R_2dZtqvnBTBWdN3H","Q2.RKB","1","rationality","Bad","Knowledge",2
"R_ufCDTRHutMvLVYJ","Q2.RKB","2","rationality","Bad","Knowledge",2
"R_3JEGYEHdPBFUpIK","Q2.RKB","1","rationality","Bad","Knowledge",2
"R_1fjejFI4WD8LEme","Q2.RKB","2","rationality","Bad","Knowledge",2
"R_1LHyPswdsIaXhxR","Q2.RKB","2","rationality","Bad","Knowledge",2
"R_Zt97GexYmGMFelb","Q2.RKB","1","rationality","Bad","Knowledge",2
"R_9pJfYokXD7NLclj","Q2.RKB","1","rationality","Bad","Knowledge",2
"R_2VIONkeZj0Of7gg","Q2.RKB","2","rationality","Bad","Knowledge",2
"R_1obgbdW7tDbvzdC","Q2.RKB","2","rationality","Bad","Knowledge",2
"R_2usJKYN2fxmGaqr","Q2.RKB","1","rationality","Bad","Knowledge",2
"R_3fTcfMmuGswY4dz","Q2.RKB","2","rationality","Bad","Knowledge",2
"R_C2JjFzpEIeyXnPj","Q2.RKB","1","rationality","Bad","Knowledge",2
"R_prARRf5YMvhEwEN","Q2.RKB","1","rationality","Bad","Knowledge",2
"R_1F32BFpAyAFvVro","Q2.RKB","2","rationality","Bad","Knowledge",2
"R_3Hiy3lnGOyNOIQK","Q2.RKB","2","rationality","Bad","Knowledge",2
"R_1qerst5YIleBPLi","Q2.RKB","1","rationality","Bad","Knowledge",2
"R_3fkl3wT610dOBrJ","Q2.RKB","2","rationality","Bad","Knowledge",2
"R_cGFhb2noJ7lS94R","Q2.RKB","1","rationality","Bad","Knowledge",2
"R_2t9Tv7OY1RP1Mmg","Q2.RKB","1","rationality","Bad","Knowledge",2
"R_UKKZXBCkHsL6wAp","Q2.RKB","1","rationality","Bad","Knowledge",2
"R_1HcTQSsle1b5W9Z","Q2.RKB","2","rationality","Bad","Knowledge",2
"R_WkQH6Sb65YbogTf","Q2.RKB","1","rationality","Bad","Knowledge",2
"R_1dlU4Sc5IEBdAhw","Q2.RKB","2","rationality","Bad","Knowledge",2
"R_dmnAIEC7Ad9gAVD","Q2.RIB","1","rationality","Bad","Ignorance",2
"R_urh0bbQnYKqZC9j","Q2.RIB","1","rationality","Bad","Ignorance",2
"R_1Igbakmew1f6LJu","Q2.RIB","2","rationality","Bad","Ignorance",2
"R_0pnISAB21WFviCZ","Q2.RIB","2","rationality","Bad","Ignorance",2
"R_urC808lhWrMFmzD","Q2.RIB","2","rationality","Bad","Ignorance",2
"R_3PELcJT287RTW0z","Q2.RIB","2","rationality","Bad","Ignorance",2
"R_1jwbgefmcMf8RI2","Q2.RIB","2","rationality","Bad","Ignorance",2
"R_3R2AWOxC7hWjNqj","Q2.RIB","2","rationality","Bad","Ignorance",2
"R_sNLCfzyhj0C6fDP","Q2.RIB","2","rationality","Bad","Ignorance",2
"R_1E0zPfS61A1p93v","Q2.RIB","2","rationality","Bad","Ignorance",2
"R_291bcJyLj97PVxP","Q2.RIB","2","rationality","Bad","Ignorance",2
"R_2VO6tEjBWzxv1qT","Q2.RIB","2","rationality","Bad","Ignorance",2
"R_22FYijS5cRyDKVy","Q2.RIB","2","rationality","Bad","Ignorance",2
"R_3PFuM7kKwr4wb0y","Q2.RIB","1","rationality","Bad","Ignorance",2
"R_3oAy4hgXJ1P6spF","Q2.RIB","2","rationality","Bad","Ignorance",2
"R_3PSPuAjXOGLT0n7","Q2.RIB","2","rationality","Bad","Ignorance",2
"R_3fkNpAQgLjHI1iL","Q2.RIB","1","rationality","Bad","Ignorance",2
"R_3kn8tL3JGGHyzPi","Q2.RIB","2","rationality","Bad","Ignorance",2
"R_3rIqCSFrAsZ7u4d","Q2.RIB","2","rationality","Bad","Ignorance",2
"R_3kpDHCggGacuKmR","Q2.RIB","2","rationality","Bad","Ignorance",2
"R_2ZHMzvy2HuSkU0r","Q2.RIB","2","rationality","Bad","Ignorance",2
"R_6gUOzZ0mgs7Cf5v","Q2.RIB","1","rationality","Bad","Ignorance",2
"R_RJfOs15S5slmYVP","Q2.RIB","2","rationality","Bad","Ignorance",2
"R_2tb2YKd4hPKb0Ty","Q2.RIB","2","rationality","Bad","Ignorance",2
"R_e3ukhtSJpqQF9Id","Q2.RIB","2","rationality","Bad","Ignorance",2
"R_2D8Kf7hPRFbrmV4","Q2.RIB","1","rationality","Bad","Ignorance",2
"R_2tMdGdjVe17nBDt","Q2.MKB","1","morality","Bad","Knowledge",2
"R_29gZY78cWmLuSVa","Q2.MKB","2","morality","Bad","Knowledge",2
"R_1nO67HdszxSQ3kR","Q2.MKB","2","morality","Bad","Knowledge",2
"R_3mjx1vchBZ5ELOC","Q2.MKB","1","morality","Bad","Knowledge",2
"R_3fSDWmEJK0nBhYH","Q2.MKB","1","morality","Bad","Knowledge",2
"R_297gdj5DMLYhOsh","Q2.MKB","2","morality","Bad","Knowledge",2
"R_3Db78Lm5ZIII1JV","Q2.MKB","2","morality","Bad","Knowledge",2
"R_2ZIT9WWvOSJD4MX","Q2.MKB","2","morality","Bad","Knowledge",2
"R_1qUljBUmOGoYLQr","Q2.MKB","1","morality","Bad","Knowledge",2
"R_2v2hw2cMU99VkDD","Q2.MKB","2","morality","Bad","Knowledge",2
"R_3jThMPE7sc03Kux","Q2.MKB","2","morality","Bad","Knowledge",2
"R_3fjXJiVog897OTE","Q2.MKB","1","morality","Bad","Knowledge",2
"R_ZfrM1AHstfjRe0N","Q2.MKB","2","morality","Bad","Knowledge",2
"R_etyun6P1xxEsVK9","Q2.MKB","1","morality","Bad","Knowledge",2
"R_2BtFCeJEWbCnCXh","Q2.MKB","1","morality","Bad","Knowledge",2
"R_26hgMm9B09Xe7Wk","Q2.MKB","1","morality","Bad","Knowledge",2
"R_7PAgh6QKf38Ods5","Q2.MKB","1","morality","Bad","Knowledge",2
"R_2QPuvmtMknIENPl","Q2.MKB","2","morality","Bad","Knowledge",2
"R_eWIqwZTxAKgzSwh","Q2.MKB","2","morality","Bad","Knowledge",2
"R_2qra0hlauy54r9I","Q2.MKB","2","morality","Bad","Knowledge",2
"R_1o0urljC4DDcDmD","Q2.MKB","1","morality","Bad","Knowledge",2
"R_9HwOwrBwwMbajYt","Q2.MKB","1","morality","Bad","Knowledge",2
"R_1FVmEUPZ3Mf74Gt","Q2.MKB","2","morality","Bad","Knowledge",2
"R_3nUYaOw2h71wunw","Q2.MKB","1","morality","Bad","Knowledge",2
"R_aXdVb1OyOWNelcR","Q2.MKB","2","morality","Bad","Knowledge",2
"R_2arw02fvwE0edbf","Q2.MIB","2","morality","Bad","Ignorance",2
"R_1rAil9iM3uuajRO","Q2.MIB","2","morality","Bad","Ignorance",2
"R_3LXDud0GwTjSMR0","Q2.MIB","1","morality","Bad","Ignorance",2
"R_Zre2wGPfMk35rod","Q2.MIB","2","morality","Bad","Ignorance",2
"R_2reUmYzDE3ma38B","Q2.MIB","1","morality","Bad","Ignorance",2
"R_40i5GG4NcfPXmFj","Q2.MIB","2","morality","Bad","Ignorance",2
"R_3qrgt3uN1orLQ7U","Q2.MIB","1","morality","Bad","Ignorance",2
"R_2SpGlzmszUawD2y","Q2.MIB","2","morality","Bad","Ignorance",2
"R_1isv3Eyt5leZXz3","Q2.MIB","2","morality","Bad","Ignorance",2
"R_2wdAi2Br036nb0x","Q2.MIB","2","morality","Bad","Ignorance",2
"R_24FLYlYvRP1AiOM","Q2.MIB","1","morality","Bad","Ignorance",2
"R_2Wv8WsI5IyNGn8s","Q2.MIB","2","morality","Bad","Ignorance",2
"R_4ZP6AOr2gTGNbJ7","Q2.MIB","2","morality","Bad","Ignorance",2
"R_6zD9vdwQaQVvfM1","Q2.MIB","2","morality","Bad","Ignorance",2
"R_3G9fT546ey96hrQ","Q2.MIB","2","morality","Bad","Ignorance",2
"R_2ggAwkWBQKkDcKR","Q2.MIB","2","morality","Bad","Ignorance",2
"R_OBSlSrQ1Id9FADD","Q2.MIB","1","morality","Bad","Ignorance",2
"R_8owwVaLumTS8iPj","Q2.MIB","2","morality","Bad","Ignorance",2
"R_214WjB6MJaAGLKJ","Q2.MIB","1","morality","Bad","Ignorance",2
"R_12s5VWgPdrearCX","Q2.MIB","2","morality","Bad","Ignorance",2
"R_YbLDHwJDAH3MVvr","Q2.MIB","1","morality","Bad","Ignorance",2
"R_3gMEpLBVaR2xDe1","Q2.MIB","2","morality","Bad","Ignorance",2
"R_2OI8rHDtYUfbZAM","Q2.MIB","2","morality","Bad","Ignorance",2
"R_1eEJStFdisOROjv","Q2.MIB","1","morality","Bad","Ignorance",2
"R_2UYM4PSbiyJmjkh","Q2.MIB","2","morality","Bad","Ignorance",2
"R_31Y2IkuEiETOf8C","Q2.RKG","2","rationality","Good","Knowledge",2
"R_1H74FkHSxEHhV1E","Q2.RKG","2","rationality","Good","Knowledge",2
"R_2ruRWfY1srJPt9Y","Q2.RKG","2","rationality","Good","Knowledge",2
"R_12QfCLXEQhxfWoU","Q2.RKG","2","rationality","Good","Knowledge",2
"R_2BgPCqjhDSDwebX","Q2.RKG","2","rationality","Good","Knowledge",2
"R_1EYTp4w46OyhCmo","Q2.RKG","2","rationality","Good","Knowledge",2
"R_3gLBFQ7583G1ouc","Q2.RKG","2","rationality","Good","Knowledge",2
"R_3Ej2u6SvghKqkgP","Q2.RKG","2","rationality","Good","Knowledge",2
"R_XHvdAnwym6hCVMJ","Q2.RKG","2","rationality","Good","Knowledge",2
"R_2QG9fymIn9yjMYO","Q2.RKG","2","rationality","Good","Knowledge",2
"R_1rJFYYnm1Llcp2n","Q2.RKG","2","rationality","Good","Knowledge",2
"R_D8guIEc06taGiEF","Q2.RKG","1","rationality","Good","Knowledge",2
"R_2q7QWLHOYQzMrIR","Q2.RKG","1","rationality","Good","Knowledge",2
"R_3l8Uvxkomb3yHLD","Q2.RKG","2","rationality","Good","Knowledge",2
"R_BMt6NhCDEuBcRs5","Q2.RKG","1","rationality","Good","Knowledge",2
"R_3PhSp43NynPctZK","Q2.RKG","1","rationality","Good","Knowledge",2
"R_2fGN17Nm7L4fHU8","Q2.RKG","2","rationality","Good","Knowledge",2
"R_2ON2AB8H3OpSKm8","Q2.RKG","2","rationality","Good","Knowledge",2
