"ResponseID","age","gender","ethn","edu","ses"
"R_SNSaRsNd36GZBap",29,1,5,4,6
"R_3ix9OZp19n7z3ji",26,1,5,3,6
"R_2fBaz1njeTCwFDg",28,1,5,5,5
"R_33ydZUGqQjKMVgR",37,1,5,2,8
"R_29s869TqKRtXUjX",40,2,5,8,3
"R_1FgpxZrcDBC7KiF",23,2,5,4,7
"R_29bHQQ2oPiTR1HO",30,2,5,5,7
"R_Wf9yO6kOByjRfzj",23,1,5,4,6
"R_ploi37XR9kuXVSh",33,2,5,4,4
"R_2WYfIWj1j7Eyboc",45,1,5,5,4
"R_yQtSb1omyXaVzAl",24,2,5,5,7
"R_1dbMCfd0tFgyzGw",23,2,5,4,5
"R_2tFow6WZdXNL5v7",37,1,5,5,6
"R_uyp37cmhjFrwrBv",29,2,5,4,7
"R_6sqhg90xvrPK4QJ",32,2,3,5,5
"R_2SlgBAOTUJwmdMm",22,1,3,2,10
"R_2XhV22aSIfhzE2M",35,1,3,5,4
"R_2tJQWc6RMGqRQYC",35,2,5,5,4
"R_SAI1Og7BAnD7SeZ",44,2,4,2,6
"R_w7QRd2mMsffG6TD",54,2,5,7,5
"R_r22wBQDJrvOypDb",41,2,5,4,8
"R_86QidGGfYLmbKwN",51,2,2,5,4
"R_2ZObC2dIpw8cyew",32,2,5,5,7
"R_2uPSdXCqk73QKwa",37,2,5,4,7
"R_2wi5PcVfGEmAi1X",55,1,5,5,5
"R_1CeHcLeh2G41fnP",25,1,5,4,8
"R_yUCeaFeOGqKeGsN",25,1,5,2,7
"R_2WSuRwvczqhr7Jl",37,2,5,6,9
"R_Ry475r49Fm4MWDT",27,1,2,5,8
"R_3CNuPYzjwTjbxYy",40,2,5,5,6
"R_2101MsSbIdm3awP",26,1,5,3,7
"R_bdZcxQuvrgUR0hr",27,1,3,5,6
"R_6LMS7eeInGKNAc1",25,1,5,5,6
"R_2D8Owj67AWmkUlA",26,1,5,6,8
"R_33gwLmLDAA1sTss",27,1,5,3,8
"R_2YeSQCOM119ZbQi",37,1,2,5,6
"R_BAoKbF8PmP5gxCF",20,2,5,4,6
"R_2e3YYxDNFxGdOp8",52,2,5,4,7
"R_0CnqgRESEZl2XnP",30,2,5,8,6
"R_3qsx4vjyD1n6TWN",24,1,2,4,7
"R_2WD90bhyn9J69Ha",36,2,5,4,8
"R_868ONwCNBhJxdvP",30,2,1,5,4
"R_2y3iqlodlBxrhIf",35,2,5,5,7
"R_2cC6APY4eALuGee",33,1,2,5,6
"R_RPszNNKC5JI8UOR",27,2,5,4,8
"R_p03NuB3Z58X3UNX",36,1,5,6,6
"R_325ZO6nfA5s9iHN",NA,NA,NA,NA,NA
"R_aVmbstkulfSoJeV",41,2,5,4,8
"R_2fIZKuSeDjQPCt0",38,2,5,5,4
"R_2bK1LPzExCL8lFz",24,2,5,5,6
"R_2R8hkz3JSrNKkdp",43,2,5,2,8
"R_1hYb71KLb5Gred1",23,1,5,5,8
"R_33a2eX3whQVHtDa",32,1,1,5,4
"R_5jN300vGGyDgxHP",35,2,1,5,6
"R_2DUjsgyYiGnm9wl",32,2,5,5,5
"R_bdButfdCOVPoPId",71,1,5,4,8
