"ResponseID","age","gender","ethn","edu","ses"
"R_PY5z2hVgeeyAtJT",21,1,5,4,3
"R_3nuuyrjLVB1W97t",32,2,1,4,5
"R_1ePLNvR7OVcnMQI",29,1,5,5,5
"R_0MR6imycpxMoiUp",28,1,5,6,5
"R_12J8WTln68VNp60",33,1,5,5,5
"R_1q2rC3ewthChYpA",19,1,5,4,4
"R_1lbkqWisVaeSN2l",31,2,5,5,4
"R_vdhFitmnNMJvAFX",28,1,3,4,6
"R_2VszoD8mbMveC1c",NA,NA,NA,NA,NA
"R_xutdvr8hYHw2iJj",30,1,5,2,7
"R_3hG5a0g88GfeF04",21,2,5,5,8
"R_1pzF8yA475qYf1X",30,2,5,3,9
"R_2V1rzv9JvrYxzoK",22,1,1,5,7
"R_bOEBC4nljslzGrD",26,1,5,5,6
"R_2X7NbvxRcvyPwl9",44,2,5,6,7
"R_30dDopbSMsGVFCY",29,1,5,4,4
"R_1Gg6ik1FyrOYJUJ",31,2,2,5,7
"R_4JGPtlIVhfS5FHH",30,1,5,5,6
"R_2WzYtHniRDu05lY",42,1,5,3,7
"R_2TtkUGyBPidyXMN",38,1,5,5,5
"R_2qaPmYLfJkJJdPt",44,1,5,6,4
"R_2RXpNwsTK2n0fpr",37,2,5,6,9
"R_1GBLZuzkYi0tL2P",21,2,5,4,3
"R_SNzqubmFCiRxfcB",51,1,5,5,4
"R_1pAVsyFR0mUiZd5",24,1,5,4,9
"R_210rW31hRibtcr7",28,1,5,5,9
"R_1hAyiOu1ZwjwJm9",24,2,5,3,10
"R_1Imialk5UC0XG7h",30,1,5,4,8
"R_32XWlrWbzgmAn4Z",35,1,3,5,4
"R_aaAhznWKny1Icc9",22,1,5,5,4
"R_2ANf16AYEusx5nW",35,2,5,5,7
"R_1jOnw7dAo3htFjs",57,1,5,4,8
"R_2fBXsEAHRfrSgqp",22,1,5,4,8
"R_2azxombVT3Um4IB",36,2,5,2,9
"R_V4HWsyziEHDtOXn",50,1,5,4,7
"R_3svIp8BuZnfsYDD",45,1,5,4,8
"R_1kUnvxNvLJItsGD",29,1,5,3,4
"R_ZIiJEHWOcAWkfaF",26,1,5,5,8
"R_6m7SuackPy4vh9n",40,2,5,5,4
"R_XHfBvhm9IYKgNK9",26,1,5,4,6
"R_3qUV0UPdveBj5Bq",28,1,5,7,5
"R_eEA6eXywnNFkTRf",32,2,5,4,7
"R_1OVP5HxcOtATXcU",41,1,5,7,3
"R_3gOeeB1Fkxoc5xZ",58,2,5,5,5
"R_2tbRyCixo1kL9iD",20,1,5,4,3
"R_2Pvg3BAXxVL03lS",30,1,5,6,7
"R_pcsxdEGbE076x0d",51,2,5,4,7
"R_Qp1Po3yv7BwZ6TL",29,2,5,5,7
"R_3R1K8IakAj0o9DM",37,1,5,5,6
"R_pSln6Y5cbAeERLX",28,1,5,4,5
"R_1NFj57vG0lU9ewe",55,1,5,5,8
"R_1JQJiFd4W6UDRQh",36,2,5,2,6
"R_5j3CoIBwnPAVQf7",30,1,5,5,6
"R_3Rq016DrojDh0vR",24,2,5,2,7
"R_1mz7k8QZ51uICE4",49,1,4,2,5
"R_Um50u2MImcL5gyd",26,1,3,4,10
"R_2fq693MrT32p0Tk",39,2,5,4,6
"R_1LLKUOC1ijywHzz",28,1,5,4,7
"R_24OTlfoA1f6wOC3",31,1,5,4,5
"R_pMfCQvTXtmkTgv7",33,1,5,5,4
"R_PZl0IexojeH5NsZ",29,2,3,5,8
"R_1KykHY6x2u580Ug",64,2,5,4,8
"R_084MbI5PfSQtvkB",21,1,2,4,6
"R_2Xo0zHBvcyfBDll",25,1,5,4,8
"R_2Yl9mJXJChRMwzK",29,1,5,5,7
"R_33g3bxAuB4rasX6",35,2,2,6,8
"R_1MJTjKaU1ZPLdGf",23,1,5,5,5
"R_3JgFIUTtXnSURPS",42,1,5,5,5
"R_308KeKR2DKG1T48",28,1,5,5,4
"R_1i4Em9DI9x5g0jR",59,2,5,4,5
"R_1LkDmEtn4RwExql",44,1,5,5,8
"R_2yrAdfY6Boj7Nqk",32,1,5,NA,7
"R_w79he2rmCBsGJSV",26,2,5,5,7
"R_OJSL14gFGW2wT2p",37,1,5,4,8
"R_2rJlC6ily7HneqH",22,2,5,4,7
"R_2iboknmc4URwsDv",30,2,4,7,10
"R_3I6oqnBtnlYPspT",34,2,5,2,8
"R_2ZOCJPwR4GTvUuJ",61,2,5,5,4
"R_1DMPKStWoNyaQQ2",39,1,5,5,5
"R_3IVGL31jp2Q2KSW",26,2,5,5,6
"R_1Ka0v8MdPbal9LD",42,2,1,4,8
"R_7VesdDslssHQRyN",27,2,5,2,5
"R_3qIhBBFOkUQJx6g",32,1,5,5,6
"R_2VgcYdVWLH40lnV",32,1,5,5,4
"R_VQ17JGV2Diunpu1",22,2,2,4,9
"R_2zjvxMw6egKhW8E",23,2,5,4,6
"R_24ADpKzTgcu8gUK",69,NA,5,6,3
"R_3ElPhmNxjQ678Zq",19,2,1,4,5
"R_2CjsL63aPboIUmr",25,2,1,4,8
"R_ZCBCCz5a7mUdw2Z",32,1,5,5,5
