"ResponseID","age","gender","ethn","edu","ses"
"R_1lzC3Xtvt4EleHp",21,1,2,4,9
"R_2Yb2mVjDqr8RMOZ",40,2,5,4,8
"R_3KCTADfOw7S6xVx",57,2,5,2,9
"R_1o0ewdOenRGADk1",38,2,1,4,8
"R_2BndQWO1ikWuED5",37,1,5,5,4
"R_2y3ANjqiGa4VJEP",30,2,5,5,6
"R_2b2x2fkUEnnu7Lo",39,2,5,3,8
"R_2YFdHyw85vDSijI",35,2,3,4,8
"R_2fDHxGsPSEatVRn",36,2,5,4,8
"R_3k6yWYTizd00flv",61,2,5,2,9
"R_21d28HBIok483hp",25,1,5,4,4
"R_CgyNRSeKQUweEh3",22,1,5,4,7
"R_2EGH5aDko6Ahsjj",40,2,5,4,7
"R_1lxyUG1WTiNOXpj",23,2,5,6,7
"R_A0Y9wPw6BI5eBl7",35,2,1,4,7
"R_ZErXBZifqbASK9X",30,2,6,5,5
"R_2PzcDFKuZpgigWF",24,2,5,5,7
"R_30dXl0e3yceArOR",31,2,1,6,5
"R_YVuSivKpwcoRjtD",34,1,2,5,4
"R_VQYMl9xiAW3yc13",21,1,5,4,9
"R_dbc6ZlmdzR5kAmt",31,1,5,5,6
"R_1IKq9Z3ja6N43V3",34,1,2,4,6
"R_1mWYHv8xSVYv7ud",36,2,2,4,5
"R_2pJjXvl0H7TYN7L",40,2,5,8,5
"R_2wB43R2mhZYiYd6",36,1,5,5,7
"R_1QyIgApbo2fT601",62,2,5,3,4
"R_3gSeXUnGJW3nRzC",54,2,5,4,7
"R_3PZXmLaY7JTB7TL",27,1,5,5,7
"R_2WYYPVgRza7XLnv",31,2,5,5,7
"R_2q9vCCpTmxoBa0p",27,2,3,6,6
"R_2VkGf9Ih3NPCAEF",45,2,5,4,7
"R_O2yUImDz0gdhM7n",32,1,5,2,10
"R_1H74VUxU3Q1Rmqk",33,1,5,5,9
"R_2bHqyS1LaMK1wy6",39,2,6,4,9
"R_vSTitLYFowUxO6t",39,1,5,2,6
"R_331IHmPwYPjFxUT",27,1,5,4,9
"R_1HnkOKe4qnYaV2O",30,1,5,2,6
"R_2xRfsiuwGQcWl9E",48,2,5,5,7
"R_2SvKleIJJs2u4OL",44,1,5,2,9
"R_3qgMGePSufPv1RG",22,1,5,4,8
"R_1dKBzHpEHFgQwMm",31,2,5,5,4
