"subj","key","value","quest","vign","cond","norm","knowledge","outcome"
"R_3dEacrXEDPu37re","MOR1.RKB","6","Morality","1","RKB","Rational","Knowledge","Bad Outcome"
"R_1JOXv2iKeD2CTH6","MOR1.RKB","5","Morality","1","RKB","Rational","Knowledge","Bad Outcome"
"R_ddtrIMnLNIrCHbX","MOR1.RKB","6","Morality","1","RKB","Rational","Knowledge","Bad Outcome"
"R_31SGa7E11qtYGmd","MOR1.RKB","8","Morality","1","RKB","Rational","Knowledge","Bad Outcome"
"R_3fIXTvdzh8oxV1L","MOR1.RKB","6","Morality","1","RKB","Rational","Knowledge","Bad Outcome"
"R_1laYtVxtoX1Y33F","MOR1.RKB","4","Morality","1","RKB","Rational","Knowledge","Bad Outcome"
"R_3012Nf3o7r10OSk","MOR1.RKB","6","Morality","1","RKB","Rational","Knowledge","Bad Outcome"
"R_3rJmHS6AcVh0mA5","MOR1.RKB","6","Morality","1","RKB","Rational","Knowledge","Bad Outcome"
"R_YYKKu3bxNR3uiM9","MOR1.RKB","3","Morality","1","RKB","Rational","Knowledge","Bad Outcome"
"R_2upNOfxuM42nqCu","MOR1.RKB","1","Morality","1","RKB","Rational","Knowledge","Bad Outcome"
"R_1JCxB01GB5QpQd7","MOR1.RKB","4","Morality","1","RKB","Rational","Knowledge","Bad Outcome"
"R_1jfW2S5n2k71h1f","MOR1.RKB","8","Morality","1","RKB","Rational","Knowledge","Bad Outcome"
"R_2Vrym3e2jMG6h2B","MOR1.RKB","8","Morality","1","RKB","Rational","Knowledge","Bad Outcome"
"R_2U9I3DclKD2Xixl","MOR1.RKB","6","Morality","1","RKB","Rational","Knowledge","Bad Outcome"
"R_1hZpo9MgTVK15uZ","MOR1.RKB","6","Morality","1","RKB","Rational","Knowledge","Bad Outcome"
"R_3NO47xvvycbvzBG","MOR1.RKB","1","Morality","1","RKB","Rational","Knowledge","Bad Outcome"
"R_3lYPAV0pVf3w6cC","MOR1.RKB","5","Morality","1","RKB","Rational","Knowledge","Bad Outcome"
"R_1dpjiMmu9NBeCCN","MOR1.RKB","8","Morality","1","RKB","Rational","Knowledge","Bad Outcome"
"R_Z3iaM83FxKdnKz7","MOR1.RKB","5","Morality","1","RKB","Rational","Knowledge","Bad Outcome"
"R_3FJanM7CPcs2uDz","MOR1.RKB","3","Morality","1","RKB","Rational","Knowledge","Bad Outcome"
"R_25DUqlbL8SGqIxj","MOR1.RKB","4","Morality","1","RKB","Rational","Knowledge","Bad Outcome"
"R_1lcmFF3SVmwpTCA","MOR1.RKB","3","Morality","1","RKB","Rational","Knowledge","Bad Outcome"
"R_2RVrFXsvvbJz0Fb","MOR1.RKB","6","Morality","1","RKB","Rational","Knowledge","Bad Outcome"
"R_24jAeOHgczY4IBn","MOR1.RKB","6","Morality","1","RKB","Rational","Knowledge","Bad Outcome"
"R_2BhahPgfSz2lD66","MOR1.RKB","1","Morality","1","RKB","Rational","Knowledge","Bad Outcome"
"R_3dEacrXEDPu37re","RAT1.RKB","6","Rationaliity","1","RKB","Rational","Knowledge","Bad Outcome"
"R_1JOXv2iKeD2CTH6","RAT1.RKB","5","Rationaliity","1","RKB","Rational","Knowledge","Bad Outcome"
"R_ddtrIMnLNIrCHbX","RAT1.RKB","6","Rationaliity","1","RKB","Rational","Knowledge","Bad Outcome"
"R_31SGa7E11qtYGmd","RAT1.RKB","5","Rationaliity","1","RKB","Rational","Knowledge","Bad Outcome"
"R_3fIXTvdzh8oxV1L","RAT1.RKB","6","Rationaliity","1","RKB","Rational","Knowledge","Bad Outcome"
"R_1laYtVxtoX1Y33F","RAT1.RKB","6","Rationaliity","1","RKB","Rational","Knowledge","Bad Outcome"
"R_3012Nf3o7r10OSk","RAT1.RKB","5","Rationaliity","1","RKB","Rational","Knowledge","Bad Outcome"
"R_3rJmHS6AcVh0mA5","RAT1.RKB","6","Rationaliity","1","RKB","Rational","Knowledge","Bad Outcome"
"R_YYKKu3bxNR3uiM9","RAT1.RKB","5","Rationaliity","1","RKB","Rational","Knowledge","Bad Outcome"
"R_2upNOfxuM42nqCu","RAT1.RKB","5","Rationaliity","1","RKB","Rational","Knowledge","Bad Outcome"
"R_1JCxB01GB5QpQd7","RAT1.RKB","4","Rationaliity","1","RKB","Rational","Knowledge","Bad Outcome"
"R_1jfW2S5n2k71h1f","RAT1.RKB","2","Rationaliity","1","RKB","Rational","Knowledge","Bad Outcome"
"R_2Vrym3e2jMG6h2B","RAT1.RKB","5","Rationaliity","1","RKB","Rational","Knowledge","Bad Outcome"
"R_2U9I3DclKD2Xixl","RAT1.RKB","6","Rationaliity","1","RKB","Rational","Knowledge","Bad Outcome"
"R_1hZpo9MgTVK15uZ","RAT1.RKB","6","Rationaliity","1","RKB","Rational","Knowledge","Bad Outcome"
"R_3NO47xvvycbvzBG","RAT1.RKB","1","Rationaliity","1","RKB","Rational","Knowledge","Bad Outcome"
"R_3lYPAV0pVf3w6cC","RAT1.RKB","5","Rationaliity","1","RKB","Rational","Knowledge","Bad Outcome"
"R_1dpjiMmu9NBeCCN","RAT1.RKB","6","Rationaliity","1","RKB","Rational","Knowledge","Bad Outcome"
"R_Z3iaM83FxKdnKz7","RAT1.RKB","5","Rationaliity","1","RKB","Rational","Knowledge","Bad Outcome"
"R_3FJanM7CPcs2uDz","RAT1.RKB","5","Rationaliity","1","RKB","Rational","Knowledge","Bad Outcome"
"R_25DUqlbL8SGqIxj","RAT1.RKB","4","Rationaliity","1","RKB","Rational","Knowledge","Bad Outcome"
"R_1lcmFF3SVmwpTCA","RAT1.RKB","4","Rationaliity","1","RKB","Rational","Knowledge","Bad Outcome"
"R_2RVrFXsvvbJz0Fb","RAT1.RKB","6","Rationaliity","1","RKB","Rational","Knowledge","Bad Outcome"
"R_24jAeOHgczY4IBn","RAT1.RKB","6","Rationaliity","1","RKB","Rational","Knowledge","Bad Outcome"
"R_2BhahPgfSz2lD66","RAT1.RKB","6","Rationaliity","1","RKB","Rational","Knowledge","Bad Outcome"
"R_0vU5wieIFCrPRIZ","MOR1.RIB","1","Morality","1","RIB","Rational","Ignorance","Bad Outcome"
"R_51rz3Nw8MT2Atfr","MOR1.RIB","1","Morality","1","RIB","Rational","Ignorance","Bad Outcome"
"R_3sslnUcV4zywwDd","MOR1.RIB","1","Morality","1","RIB","Rational","Ignorance","Bad Outcome"
"R_3kAQU2kSpWeSWAs","MOR1.RIB","1","Morality","1","RIB","Rational","Ignorance","Bad Outcome"
"R_RWZqZe6IB87Zd1n","MOR1.RIB","1","Morality","1","RIB","Rational","Ignorance","Bad Outcome"
"R_3hsEcL8K61hnh9l","MOR1.RIB","1","Morality","1","RIB","Rational","Ignorance","Bad Outcome"
"R_1rPIB8J29JnErnm","MOR1.RIB","1","Morality","1","RIB","Rational","Ignorance","Bad Outcome"
"R_0dIqsoLA4bhUxEJ","MOR1.RIB","2","Morality","1","RIB","Rational","Ignorance","Bad Outcome"
"R_3j2911pazmJqBQY","MOR1.RIB","1","Morality","1","RIB","Rational","Ignorance","Bad Outcome"
"R_PA6KpxrYWZ5Jo4N","MOR1.RIB","2","Morality","1","RIB","Rational","Ignorance","Bad Outcome"
"R_3qHyb5ZjhcoXpSg","MOR1.RIB","1","Morality","1","RIB","Rational","Ignorance","Bad Outcome"
"R_3knNEnfwNgELtrq","MOR1.RIB","3","Morality","1","RIB","Rational","Ignorance","Bad Outcome"
"R_3OoVv24Xf5rxDmf","MOR1.RIB","4","Morality","1","RIB","Rational","Ignorance","Bad Outcome"
"R_1j81MYOOvUb72Zw","MOR1.RIB","2","Morality","1","RIB","Rational","Ignorance","Bad Outcome"
"R_ClWAQE2QWEXK665","MOR1.RIB","1","Morality","1","RIB","Rational","Ignorance","Bad Outcome"
"R_1eznzuf8TaZZj8v","MOR1.RIB","5","Morality","1","RIB","Rational","Ignorance","Bad Outcome"
"R_1gGE1y5MAA9R7XL","MOR1.RIB","5","Morality","1","RIB","Rational","Ignorance","Bad Outcome"
"R_2zB0f6P5WEMqAVs","MOR1.RIB","3","Morality","1","RIB","Rational","Ignorance","Bad Outcome"
"R_1Nb78sivVT7t6j4","MOR1.RIB","6","Morality","1","RIB","Rational","Ignorance","Bad Outcome"
"R_3RflkQJbqZ9BSFA","MOR1.RIB","1","Morality","1","RIB","Rational","Ignorance","Bad Outcome"
"R_12Eh3iGCcCjMa1a","MOR1.RIB","5","Morality","1","RIB","Rational","Ignorance","Bad Outcome"
"R_26bVztdvcmp8BFF","MOR1.RIB","1","Morality","1","RIB","Rational","Ignorance","Bad Outcome"
"R_2thE9cXB0Rrflqr","MOR1.RIB","1","Morality","1","RIB","Rational","Ignorance","Bad Outcome"
"R_w1yiYligPGlVtMR","MOR1.RIB","2","Morality","1","RIB","Rational","Ignorance","Bad Outcome"
"R_2uWJCBdJpAtMFUw","MOR1.RIB","6","Morality","1","RIB","Rational","Ignorance","Bad Outcome"
"R_0vU5wieIFCrPRIZ","RAT1.RIB","1","Rationaliity","1","RIB","Rational","Ignorance","Bad Outcome"
"R_51rz3Nw8MT2Atfr","RAT1.RIB","1","Rationaliity","1","RIB","Rational","Ignorance","Bad Outcome"
"R_3sslnUcV4zywwDd","RAT1.RIB","1","Rationaliity","1","RIB","Rational","Ignorance","Bad Outcome"
"R_3kAQU2kSpWeSWAs","RAT1.RIB","1","Rationaliity","1","RIB","Rational","Ignorance","Bad Outcome"
"R_RWZqZe6IB87Zd1n","RAT1.RIB","1","Rationaliity","1","RIB","Rational","Ignorance","Bad Outcome"
"R_3hsEcL8K61hnh9l","RAT1.RIB","5","Rationaliity","1","RIB","Rational","Ignorance","Bad Outcome"
"R_1rPIB8J29JnErnm","RAT1.RIB","1","Rationaliity","1","RIB","Rational","Ignorance","Bad Outcome"
"R_0dIqsoLA4bhUxEJ","RAT1.RIB","5","Rationaliity","1","RIB","Rational","Ignorance","Bad Outcome"
"R_3j2911pazmJqBQY","RAT1.RIB","1","Rationaliity","1","RIB","Rational","Ignorance","Bad Outcome"
"R_PA6KpxrYWZ5Jo4N","RAT1.RIB","3","Rationaliity","1","RIB","Rational","Ignorance","Bad Outcome"
"R_3qHyb5ZjhcoXpSg","RAT1.RIB","1","Rationaliity","1","RIB","Rational","Ignorance","Bad Outcome"
"R_3knNEnfwNgELtrq","RAT1.RIB","3","Rationaliity","1","RIB","Rational","Ignorance","Bad Outcome"
"R_3OoVv24Xf5rxDmf","RAT1.RIB","4","Rationaliity","1","RIB","Rational","Ignorance","Bad Outcome"
"R_1j81MYOOvUb72Zw","RAT1.RIB","4","Rationaliity","1","RIB","Rational","Ignorance","Bad Outcome"
"R_ClWAQE2QWEXK665","RAT1.RIB","1","Rationaliity","1","RIB","Rational","Ignorance","Bad Outcome"
"R_1eznzuf8TaZZj8v","RAT1.RIB","4","Rationaliity","1","RIB","Rational","Ignorance","Bad Outcome"
"R_1gGE1y5MAA9R7XL","RAT1.RIB","5","Rationaliity","1","RIB","Rational","Ignorance","Bad Outcome"
"R_2zB0f6P5WEMqAVs","RAT1.RIB","3","Rationaliity","1","RIB","Rational","Ignorance","Bad Outcome"
"R_1Nb78sivVT7t6j4","RAT1.RIB","6","Rationaliity","1","RIB","Rational","Ignorance","Bad Outcome"
"R_3RflkQJbqZ9BSFA","RAT1.RIB","2","Rationaliity","1","RIB","Rational","Ignorance","Bad Outcome"
"R_12Eh3iGCcCjMa1a","RAT1.RIB","1","Rationaliity","1","RIB","Rational","Ignorance","Bad Outcome"
"R_26bVztdvcmp8BFF","RAT1.RIB","1","Rationaliity","1","RIB","Rational","Ignorance","Bad Outcome"
"R_2thE9cXB0Rrflqr","RAT1.RIB","1","Rationaliity","1","RIB","Rational","Ignorance","Bad Outcome"
"R_w1yiYligPGlVtMR","RAT1.RIB","1","Rationaliity","1","RIB","Rational","Ignorance","Bad Outcome"
"R_2uWJCBdJpAtMFUw","RAT1.RIB","5","Rationaliity","1","RIB","Rational","Ignorance","Bad Outcome"
"R_2Ytin91h8nvssDV","MOR1.MKB","5","Morality","1","MKB","Moral","Knowledge","Bad Outcome"
"R_Q534Tnfs8LfhP45","MOR1.MKB","3","Morality","1","MKB","Moral","Knowledge","Bad Outcome"
"R_2ALtH8EmiEgNXpb","MOR1.MKB","6","Morality","1","MKB","Moral","Knowledge","Bad Outcome"
"R_2rjSi9liLXRDZN7","MOR1.MKB","2","Morality","1","MKB","Moral","Knowledge","Bad Outcome"
"R_3CVkUpSS8ZyY507","MOR1.MKB","7","Morality","1","MKB","Moral","Knowledge","Bad Outcome"
"R_yNJqQLUiI0ZYfpn","MOR1.MKB","2","Morality","1","MKB","Moral","Knowledge","Bad Outcome"
"R_oXeMJqMvHYpgfdv","MOR1.MKB","7","Morality","1","MKB","Moral","Knowledge","Bad Outcome"
"R_3MQgazHr2PORZoF","MOR1.MKB","7","Morality","1","MKB","Moral","Knowledge","Bad Outcome"
"R_2y3LkEAghkf0N4l","MOR1.MKB","4","Morality","1","MKB","Moral","Knowledge","Bad Outcome"
"R_2TUhjcLKKYyUSyK","MOR1.MKB","7","Morality","1","MKB","Moral","Knowledge","Bad Outcome"
"R_3F1YRwgzM61Qw4H","MOR1.MKB","7","Morality","1","MKB","Moral","Knowledge","Bad Outcome"
"R_3ML4GVcEDgjLCNv","MOR1.MKB","2","Morality","1","MKB","Moral","Knowledge","Bad Outcome"
"R_urYr3uwPboDvrtD","MOR1.MKB","4","Morality","1","MKB","Moral","Knowledge","Bad Outcome"
"R_07YMsQv4tVac8MN","MOR1.MKB","7","Morality","1","MKB","Moral","Knowledge","Bad Outcome"
"R_XsNe3Zd1DVl1Dq1","MOR1.MKB","7","Morality","1","MKB","Moral","Knowledge","Bad Outcome"
"R_3rJ51T2ruwNbfAU","MOR1.MKB","6","Morality","1","MKB","Moral","Knowledge","Bad Outcome"
"R_1rNABCQLfGsabgC","MOR1.MKB","7","Morality","1","MKB","Moral","Knowledge","Bad Outcome"
"R_1mpYMLn3bHMBNJ6","MOR1.MKB","7","Morality","1","MKB","Moral","Knowledge","Bad Outcome"
"R_1M5TRrMrb71j0vv","MOR1.MKB","7","Morality","1","MKB","Moral","Knowledge","Bad Outcome"
"R_3GfyJpTBwVugnJb","MOR1.MKB","7","Morality","1","MKB","Moral","Knowledge","Bad Outcome"
"R_3oWU5TTzkXOT60i","MOR1.MKB","7","Morality","1","MKB","Moral","Knowledge","Bad Outcome"
"R_2eQe2N5vS0VzuL6","MOR1.MKB","5","Morality","1","MKB","Moral","Knowledge","Bad Outcome"
"R_22DhPx3Bg9eSZ1X","MOR1.MKB","7","Morality","1","MKB","Moral","Knowledge","Bad Outcome"
"R_3Ge8Mw7q22SmTYJ","MOR1.MKB","7","Morality","1","MKB","Moral","Knowledge","Bad Outcome"
"R_27dPUMh2YsN8tL8","MOR1.MKB","7","Morality","1","MKB","Moral","Knowledge","Bad Outcome"
"R_vTd8rCHIaU7oJTr","MOR1.MKB","6","Morality","1","MKB","Moral","Knowledge","Bad Outcome"
"R_2Ytin91h8nvssDV","RAT1.MKB","6","Rationaliity","1","MKB","Moral","Knowledge","Bad Outcome"
"R_Q534Tnfs8LfhP45","RAT1.MKB","1","Rationaliity","1","MKB","Moral","Knowledge","Bad Outcome"
"R_2ALtH8EmiEgNXpb","RAT1.MKB","7","Rationaliity","1","MKB","Moral","Knowledge","Bad Outcome"
"R_2rjSi9liLXRDZN7","RAT1.MKB","5","Rationaliity","1","MKB","Moral","Knowledge","Bad Outcome"
"R_3CVkUpSS8ZyY507","RAT1.MKB","6","Rationaliity","1","MKB","Moral","Knowledge","Bad Outcome"
"R_yNJqQLUiI0ZYfpn","RAT1.MKB","2","Rationaliity","1","MKB","Moral","Knowledge","Bad Outcome"
"R_oXeMJqMvHYpgfdv","RAT1.MKB","7","Rationaliity","1","MKB","Moral","Knowledge","Bad Outcome"
"R_3MQgazHr2PORZoF","RAT1.MKB","2","Rationaliity","1","MKB","Moral","Knowledge","Bad Outcome"
"R_2y3LkEAghkf0N4l","RAT1.MKB","3","Rationaliity","1","MKB","Moral","Knowledge","Bad Outcome"
"R_2TUhjcLKKYyUSyK","RAT1.MKB","4","Rationaliity","1","MKB","Moral","Knowledge","Bad Outcome"
"R_3F1YRwgzM61Qw4H","RAT1.MKB","6","Rationaliity","1","MKB","Moral","Knowledge","Bad Outcome"
"R_3ML4GVcEDgjLCNv","RAT1.MKB","1","Rationaliity","1","MKB","Moral","Knowledge","Bad Outcome"
"R_urYr3uwPboDvrtD","RAT1.MKB","1","Rationaliity","1","MKB","Moral","Knowledge","Bad Outcome"
"R_07YMsQv4tVac8MN","RAT1.MKB","4","Rationaliity","1","MKB","Moral","Knowledge","Bad Outcome"
"R_XsNe3Zd1DVl1Dq1","RAT1.MKB","4","Rationaliity","1","MKB","Moral","Knowledge","Bad Outcome"
"R_3rJ51T2ruwNbfAU","RAT1.MKB","2","Rationaliity","1","MKB","Moral","Knowledge","Bad Outcome"
"R_1rNABCQLfGsabgC","RAT1.MKB","7","Rationaliity","1","MKB","Moral","Knowledge","Bad Outcome"
"R_1mpYMLn3bHMBNJ6","RAT1.MKB","3","Rationaliity","1","MKB","Moral","Knowledge","Bad Outcome"
"R_1M5TRrMrb71j0vv","RAT1.MKB","7","Rationaliity","1","MKB","Moral","Knowledge","Bad Outcome"
"R_3GfyJpTBwVugnJb","RAT1.MKB","6","Rationaliity","1","MKB","Moral","Knowledge","Bad Outcome"
"R_3oWU5TTzkXOT60i","RAT1.MKB","6","Rationaliity","1","MKB","Moral","Knowledge","Bad Outcome"
"R_2eQe2N5vS0VzuL6","RAT1.MKB","4","Rationaliity","1","MKB","Moral","Knowledge","Bad Outcome"
"R_22DhPx3Bg9eSZ1X","RAT1.MKB","7","Rationaliity","1","MKB","Moral","Knowledge","Bad Outcome"
"R_3Ge8Mw7q22SmTYJ","RAT1.MKB","6","Rationaliity","1","MKB","Moral","Knowledge","Bad Outcome"
"R_27dPUMh2YsN8tL8","RAT1.MKB","6","Rationaliity","1","MKB","Moral","Knowledge","Bad Outcome"
"R_vTd8rCHIaU7oJTr","RAT1.MKB","5","Rationaliity","1","MKB","Moral","Knowledge","Bad Outcome"
"R_1GNckx8iR0MyB53","MOR1.MIB","5","Morality","1","MIB","Moral","Ignorance","Bad Outcome"
"R_3gYMp48vyvxcl3v","MOR1.MIB","5","Morality","1","MIB","Moral","Ignorance","Bad Outcome"
"R_w7NViULEpgQxUgp","MOR1.MIB","5","Morality","1","MIB","Moral","Ignorance","Bad Outcome"
"R_bdg5rZAzgE1TOMh","MOR1.MIB","1","Morality","1","MIB","Moral","Ignorance","Bad Outcome"
"R_1f9IaKdI0gZxQ3m","MOR1.MIB","4","Morality","1","MIB","Moral","Ignorance","Bad Outcome"
"R_qQIhaR6uiDnK1vH","MOR1.MIB","1","Morality","1","MIB","Moral","Ignorance","Bad Outcome"
"R_2dLOdsJqKhVH80Q","MOR1.MIB","1","Morality","1","MIB","Moral","Ignorance","Bad Outcome"
"R_PMuEbnPTxf87rYR","MOR1.MIB","6","Morality","1","MIB","Moral","Ignorance","Bad Outcome"
"R_11YiJHgplnC6tFv","MOR1.MIB","1","Morality","1","MIB","Moral","Ignorance","Bad Outcome"
"R_3dFIeuNX3GKX936","MOR1.MIB","1","Morality","1","MIB","Moral","Ignorance","Bad Outcome"
"R_1K9ENKGtHpJ9WqV","MOR1.MIB","3","Morality","1","MIB","Moral","Ignorance","Bad Outcome"
"R_3NOQ3IKgQO0M7m2","MOR1.MIB","5","Morality","1","MIB","Moral","Ignorance","Bad Outcome"
"R_1qW17ExgKE43t1L","MOR1.MIB","3","Morality","1","MIB","Moral","Ignorance","Bad Outcome"
"R_3fcx83rEW5yjiXr","MOR1.MIB","7","Morality","1","MIB","Moral","Ignorance","Bad Outcome"
"R_DACCM9pOMf2C9l7","MOR1.MIB","1","Morality","1","MIB","Moral","Ignorance","Bad Outcome"
"R_1Aga2njqskcPlCx","MOR1.MIB","3","Morality","1","MIB","Moral","Ignorance","Bad Outcome"
"R_2tqURiLTFn9WlHP","MOR1.MIB","4","Morality","1","MIB","Moral","Ignorance","Bad Outcome"
"R_2CeVYP92B8J9CBa","MOR1.MIB","3","Morality","1","MIB","Moral","Ignorance","Bad Outcome"
"R_5n0pcMbiqjK1h8B","MOR1.MIB","5","Morality","1","MIB","Moral","Ignorance","Bad Outcome"
"R_1reQmhV7MHR1Hjd","MOR1.MIB","4","Morality","1","MIB","Moral","Ignorance","Bad Outcome"
"R_2xKtmkxYUNToyYr","MOR1.MIB","3","Morality","1","MIB","Moral","Ignorance","Bad Outcome"
"R_8filTUw4nwyQyat","MOR1.MIB","1","Morality","1","MIB","Moral","Ignorance","Bad Outcome"
"R_3pc2SajQMwMp0iD","MOR1.MIB","7","Morality","1","MIB","Moral","Ignorance","Bad Outcome"
"R_3m9Ie9DPPLj7XEO","MOR1.MIB","1","Morality","1","MIB","Moral","Ignorance","Bad Outcome"
"R_1GNckx8iR0MyB53","RAT1.MIB","6","Rationaliity","1","MIB","Moral","Ignorance","Bad Outcome"
"R_3gYMp48vyvxcl3v","RAT1.MIB","4","Rationaliity","1","MIB","Moral","Ignorance","Bad Outcome"
"R_w7NViULEpgQxUgp","RAT1.MIB","3","Rationaliity","1","MIB","Moral","Ignorance","Bad Outcome"
"R_bdg5rZAzgE1TOMh","RAT1.MIB","1","Rationaliity","1","MIB","Moral","Ignorance","Bad Outcome"
"R_1f9IaKdI0gZxQ3m","RAT1.MIB","1","Rationaliity","1","MIB","Moral","Ignorance","Bad Outcome"
"R_qQIhaR6uiDnK1vH","RAT1.MIB","1","Rationaliity","1","MIB","Moral","Ignorance","Bad Outcome"
"R_2dLOdsJqKhVH80Q","RAT1.MIB","1","Rationaliity","1","MIB","Moral","Ignorance","Bad Outcome"
"R_PMuEbnPTxf87rYR","RAT1.MIB","2","Rationaliity","1","MIB","Moral","Ignorance","Bad Outcome"
"R_11YiJHgplnC6tFv","RAT1.MIB","1","Rationaliity","1","MIB","Moral","Ignorance","Bad Outcome"
"R_3dFIeuNX3GKX936","RAT1.MIB","1","Rationaliity","1","MIB","Moral","Ignorance","Bad Outcome"
"R_1K9ENKGtHpJ9WqV","RAT1.MIB","4","Rationaliity","1","MIB","Moral","Ignorance","Bad Outcome"
"R_3NOQ3IKgQO0M7m2","RAT1.MIB","6","Rationaliity","1","MIB","Moral","Ignorance","Bad Outcome"
"R_1qW17ExgKE43t1L","RAT1.MIB","4","Rationaliity","1","MIB","Moral","Ignorance","Bad Outcome"
"R_3fcx83rEW5yjiXr","RAT1.MIB","7","Rationaliity","1","MIB","Moral","Ignorance","Bad Outcome"
"R_DACCM9pOMf2C9l7","RAT1.MIB","1","Rationaliity","1","MIB","Moral","Ignorance","Bad Outcome"
"R_1Aga2njqskcPlCx","RAT1.MIB","3","Rationaliity","1","MIB","Moral","Ignorance","Bad Outcome"
"R_2tqURiLTFn9WlHP","RAT1.MIB","3","Rationaliity","1","MIB","Moral","Ignorance","Bad Outcome"
"R_2CeVYP92B8J9CBa","RAT1.MIB","3","Rationaliity","1","MIB","Moral","Ignorance","Bad Outcome"
"R_5n0pcMbiqjK1h8B","RAT1.MIB","6","Rationaliity","1","MIB","Moral","Ignorance","Bad Outcome"
"R_1reQmhV7MHR1Hjd","RAT1.MIB","4","Rationaliity","1","MIB","Moral","Ignorance","Bad Outcome"
"R_2xKtmkxYUNToyYr","RAT1.MIB","4","Rationaliity","1","MIB","Moral","Ignorance","Bad Outcome"
"R_8filTUw4nwyQyat","RAT1.MIB","1","Rationaliity","1","MIB","Moral","Ignorance","Bad Outcome"
"R_3pc2SajQMwMp0iD","RAT1.MIB","7","Rationaliity","1","MIB","Moral","Ignorance","Bad Outcome"
"R_3m9Ie9DPPLj7XEO","RAT1.MIB","1","Rationaliity","1","MIB","Moral","Ignorance","Bad Outcome"
"R_2tySeP3a0nvlDMn","MOR1.RKG","6","Morality","1","RKG","Rational","Knowledge","Good Outcome"
"R_3O6PqNPMCugLmgh","MOR1.RKG","1","Morality","1","RKG","Rational","Knowledge","Good Outcome"
"R_vSwTWM7OPbELGtX","MOR1.RKG","5","Morality","1","RKG","Rational","Knowledge","Good Outcome"
"R_1owpLqAhomJbqLA","MOR1.RKG","3","Morality","1","RKG","Rational","Knowledge","Good Outcome"
"R_1eG110VDhIh6duq","MOR1.RKG","3","Morality","1","RKG","Rational","Knowledge","Good Outcome"
"R_3Gj34JHw1lpXmi9","MOR1.RKG","5","Morality","1","RKG","Rational","Knowledge","Good Outcome"
"R_1pAI15UyGZ5zq21","MOR1.RKG","4","Morality","1","RKG","Rational","Knowledge","Good Outcome"
"R_1q9FXqVDkncqZdx","MOR1.RKG","1","Morality","1","RKG","Rational","Knowledge","Good Outcome"
"R_2rjxr15Kg7PYtwv","MOR1.RKG","1","Morality","1","RKG","Rational","Knowledge","Good Outcome"
"R_3EooUhbefzP7wTS","MOR1.RKG","3","Morality","1","RKG","Rational","Knowledge","Good Outcome"
"R_3lrehgvkjdSEPDj","MOR1.RKG","5","Morality","1","RKG","Rational","Knowledge","Good Outcome"
"R_3hgRQu2g3Pz7B5B","MOR1.RKG","1","Morality","1","RKG","Rational","Knowledge","Good Outcome"
"R_2wRFEXEXwSLe24f","MOR1.RKG","5","Morality","1","RKG","Rational","Knowledge","Good Outcome"
"R_3po36aIE81qzB29","MOR1.RKG","2","Morality","1","RKG","Rational","Knowledge","Good Outcome"
"R_7OFtXJlSTRWI8fL","MOR1.RKG","5","Morality","1","RKG","Rational","Knowledge","Good Outcome"
"R_33kkkhLBam1S6pm","MOR1.RKG","1","Morality","1","RKG","Rational","Knowledge","Good Outcome"
"R_1prGWKRTFrK96cC","MOR1.RKG","2","Morality","1","RKG","Rational","Knowledge","Good Outcome"
"R_6MtqNC0dygQS5I5","MOR1.RKG","7","Morality","1","RKG","Rational","Knowledge","Good Outcome"
"R_2z6C3H6ziUkTYb4","MOR1.RKG","1","Morality","1","RKG","Rational","Knowledge","Good Outcome"
"R_27wHjTGw5QIVd3S","MOR1.RKG","1","Morality","1","RKG","Rational","Knowledge","Good Outcome"
"R_1ig7ZAwQVlqA8k6","MOR1.RKG","2","Morality","1","RKG","Rational","Knowledge","Good Outcome"
"R_1DGAWWMOjztPDSV","MOR1.RKG","1","Morality","1","RKG","Rational","Knowledge","Good Outcome"
"R_3IWhbP0bgUtdAHa","MOR1.RKG","2","Morality","1","RKG","Rational","Knowledge","Good Outcome"
"R_2tySeP3a0nvlDMn","RAT1.RKG","5","Rationaliity","1","RKG","Rational","Knowledge","Good Outcome"
"R_3O6PqNPMCugLmgh","RAT1.RKG","5","Rationaliity","1","RKG","Rational","Knowledge","Good Outcome"
"R_vSwTWM7OPbELGtX","RAT1.RKG","6","Rationaliity","1","RKG","Rational","Knowledge","Good Outcome"
"R_1owpLqAhomJbqLA","RAT1.RKG","6","Rationaliity","1","RKG","Rational","Knowledge","Good Outcome"
"R_1eG110VDhIh6duq","RAT1.RKG","5","Rationaliity","1","RKG","Rational","Knowledge","Good Outcome"
"R_3Gj34JHw1lpXmi9","RAT1.RKG","4","Rationaliity","1","RKG","Rational","Knowledge","Good Outcome"
"R_1pAI15UyGZ5zq21","RAT1.RKG","3","Rationaliity","1","RKG","Rational","Knowledge","Good Outcome"
"R_1q9FXqVDkncqZdx","RAT1.RKG","1","Rationaliity","1","RKG","Rational","Knowledge","Good Outcome"
"R_2rjxr15Kg7PYtwv","RAT1.RKG","3","Rationaliity","1","RKG","Rational","Knowledge","Good Outcome"
"R_3EooUhbefzP7wTS","RAT1.RKG","3","Rationaliity","1","RKG","Rational","Knowledge","Good Outcome"
"R_3lrehgvkjdSEPDj","RAT1.RKG","5","Rationaliity","1","RKG","Rational","Knowledge","Good Outcome"
