"ResponseID","age","gender","ethn","edu","ses"
"R_1oI0U4y4giW2UL8",25,1,1,4,8
"R_qwstNkmCZDncnex",25,1,5,2,10
"R_2dX5vjScs3dhAvA",22,2,5,5,9
"R_cRYJlxKWMsxSXex",26,1,1,4,3
"R_1imxL31aVxgcj3K",29,2,3,5,5
"R_O1muBpwwMSdwLXX",26,1,3,5,6
"R_3LXWtY8gOBIAeW7",26,1,5,6,6
"R_2dmV8ojWzFBuwiN",62,1,5,4,4
"R_aXEiArnwBQgF1EB",35,2,5,5,6
"R_PA0t9g6GuqSq0TL",40,1,5,4,7
"R_31vgs7oEcAUUBCK",30,1,5,8,4
"R_1pG5mBtKIxnqGnO",24,2,5,5,7
"R_3dGOW8YWTwvPThc",24,2,5,5,7
"R_3smqMd6i0nnfVrs",31,2,5,5,7
"R_eyRTSh4XcbdimQ1",58,2,5,3,8
"R_0dhbjUrTCtAtXMd",32,1,5,6,4
"R_3iVUZDZ6Xsj4GZd",30,2,5,4,6
"R_1N82MSTnLu1L5BS",30,2,5,5,7
"R_2zdsiAOc8eopgE4",23,2,5,5,5
"R_2qDT71gLL4Hk6vv",21,2,5,5,8
"R_8wT6budSaGnIHXb",34,2,5,6,7
"R_1kXno4YA9fN2u8R",25,2,5,2,8
"R_1DTpKBP583HFVLL",20,1,5,2,3
"R_1eFR8vCjQSfiWkR",25,1,5,5,4
"R_2dmqWK2SOVEa2zA",36,1,5,5,4
"R_1GNPUifrgPBMutY",36,1,5,8,5
"R_3MJRtGtKeUrs8NH",52,2,5,4,8
"R_2alavD66UIuSWb5",27,2,5,4,5
"R_2fI36SyrV14lYrh",23,1,4,2,6
"R_1hA0IsvBHxVRavp",38,1,5,5,5
"R_1QF7CJB3xYH1Icq",40,2,5,4,8
"R_W6elBmY4AViabeh",22,2,5,5,6
"R_1prmtLLJVr1Hf5g",37,2,5,6,4
"R_1JD652cBs70EEKH",24,2,5,NA,8
"R_3hfLXxFQCOFHDhd",25,1,5,4,9
"R_Di8zhIWOlKCczu1",21,1,5,2,7
"R_8D2pEXgecD6VZjb",30,1,4,2,9
"R_2V4vMqxsKfCy981",36,2,5,5,7
"R_1LZPsGQwhnK5uI7",46,2,5,4,8
"R_3ikURr3SIES6E2A",29,1,5,5,9
"R_p6Lz0W0CznGD5cd",46,2,5,4,5
"R_2D1f7ZKCD0Y9Yny",36,1,5,5,6
"R_eJyWjB3Dc3WPwM9",29,1,5,2,8
"R_2PAKvIZqAYoNLi1",30,2,5,5,5
"R_30f2EmuXwbX8glU",64,2,5,5,5
"R_3fK27biGknih0jm",28,1,3,4,5
"R_2SJ5N5eWnwZU57B",21,2,5,5,6
"R_3MhcvekzVVQmq9K",28,2,5,4,8
"R_12x7nwOFtxtrjBa",36,1,5,4,9
"R_1isdeGaE6xlU1wU",29,2,1,4,4
"R_PzcHZuk8JeKFzMd",55,2,5,5,10
"R_1r6rftvmunezmgH",30,2,5,5,8
"R_1mmEf6xTqE8g0oR",32,1,5,4,9
"R_2VHAkug4rTJGOs4",24,1,5,6,4
"R_1mEPplXG1S1byZk",34,1,1,4,8
"R_2cvY0q0ayCid5Uq",34,1,2,6,5
"R_1fcLslsYDzHkPkX",52,2,5,3,8
"R_0wY7sC3OQrERB17",52,1,5,2,7
"R_XzjyG1lK7fthkZj",46,2,5,4,6
"R_1mdUzu10MnDZeEq",48,1,2,5,4
"R_332ACriUFOPwkKD",33,2,5,5,8
"R_3I6pW4s1kg4iYh9",36,1,5,4,6
"R_2fJUuROj6MseEX5",28,2,5,5,7
"R_3j06XDAEQQt4jr7",26,1,2,4,8
"R_3KJBZQUIuTjlI9w",30,1,5,5,10
"R_etGXYThtTJLdMPf",33,2,5,5,5
"R_2uO3aCdEYJpowbT",40,2,5,4,6
