"ResponseID","age","gender","ethn","edu","ses"
"R_33ruQie1vmpfqVi",20,1,1,4,7
"R_paeEQ8anXjrmpRT",26,1,5,5,5
"R_zU0vaiKzpoKEAi5",20,1,5,4,7
"R_1pG5G0oMPGxdOKm",24,1,5,5,4
"R_1r04SOtFMY00HSV",30,2,5,4,9
"R_1Hq130S3Hz8kEEi",22,1,5,5,4
"R_2SGm0oLNBOcb2Ee",51,1,5,4,8
"R_bJDDVAQlI0CDDW1",37,1,3,4,7
"R_2aypJwoXdPlg13I",50,1,4,2,5
"R_2Vwk9lfSIw1zHIV",29,1,5,2,5
"R_3JDilUFybWpuAwt",22,1,5,5,9
"R_2dYJ9k3prKTOURc",30,1,3,5,5
"R_OJvG6MMxC0UoMEx",35,2,5,4,7
"R_bfGRCwnRxFHo4jn",37,1,5,6,5
"R_UtekhDC4u9vvXoZ",33,2,5,5,10
"R_Or6RZS4Ktaam1GN",NA,2,3,4,9
"R_1kTDv7nZiC0GN7n",30,1,5,2,8
"R_3koal6JP0nSeaZf",23,1,3,5,8
"R_3Rgv9My87YNix9r",22,1,NA,4,6
"R_1Ca8IxUuCo2GG60",26,1,5,5,7
"R_uaEzfyKtyJIfLZD",33,1,5,5,8
"R_UrOASm66hVQGlJ7",24,1,2,2,8
"R_3n7uHZk8mqVPenf",26,1,5,6,6
"R_3rJ4WebQR9Agiuh",30,1,5,4,4
"R_3KGZNnealijp5QL",26,2,5,4,8
"R_2ri5QMOYM7YKwIm",20,2,5,4,5
"R_740Rf3bTx3c8cy5",33,1,5,5,6
"R_1C3CsIyxd4Q3WIO",29,1,5,5,8
"R_RquqmqzA4lKk6rf",39,2,5,5,5
"R_u80vlwTDvnWwsZr",31,2,5,4,9
"R_1NDHOaewkIr03fr",42,1,5,3,7
"R_4HK218oWoN20QqR",39,1,5,5,4
"R_1lrw1uxA7DxGpSq",22,1,5,4,6
"R_3J1ck44kjdvlNlf",34,2,5,5,5
"R_2uZMkgZCE1ujav6",20,2,5,4,5
"R_3qriW9AsTIxV4Ib",32,1,5,4,4
"R_3fdfbeSLH8K1LSp",35,1,5,7,7
"R_6xT7Kce6cntQOhr",20,2,5,2,10
"R_vvrs5xCGh2Z4KRj",18,1,3,2,5
"R_1qe6uE4dHgWifXX",36,1,5,4,5
"R_Cmkv1D9vbjmFSPD",28,1,5,4,7
"R_1eQV8XZ55IDysuw",34,1,5,8,9
"R_3DewNNDaKxx5XY3",24,1,5,4,9
"R_yORHDoc3nbxy6Xf",20,1,5,4,8
"R_BrhpIBqpg2ImXkZ",24,2,5,5,5
"R_VWjuuDFE08N1QTD",27,2,5,5,4
"R_1dgmxwDsNBKsiUS",39,2,5,4,6
"R_OGYkKde7d8vf7Nv",33,1,2,6,5
"R_2VCHvtOaxYlNDJ7",21,2,5,4,8
"R_3qwe6kmhq77pvbr",20,1,6,4,3
"R_udE2Pxqa0KQJfJn",28,2,5,5,5
"R_RhqlALKn9PPtkhX",59,2,5,2,6
"R_2Sv2YnUG5kN6Prb",23,2,5,4,6
"R_2Bb6KRLWjYLkJQt",21,2,2,4,7
"R_3I6SPeAjqvuKwcp",23,1,5,2,7
"R_1l5KqTPPJQlv5l5",36,1,5,5,5
"R_3LciITvLXTr8IcB",32,1,5,6,5
"R_2ZIcTUJlUhUcRGS",35,1,5,4,9
"R_elpAdkSFY6is21b",53,2,5,5,6
"R_scDJsCAyjQ1fWU1",20,1,2,4,8
"R_sYiDvxlkSLYoWfD",32,2,1,4,5
"R_d4ozcTESiPWf6Jb",33,2,5,8,3
"R_1gzm6n9CzQP04yI",25,1,5,5,6
"R_w1X2ihtvreCCpKp",33,1,5,6,4
"R_2WvhKhclQEymN4a",22,2,5,4,4
"R_2sZOBkoN6IAomxu",34,2,5,6,5
"R_3sbshx2HulrCsbE",34,1,5,2,7
"R_Y312jwuNsXYMfnz",30,NA,NA,NA,NA
"R_2BhpDFrXL0mFlWw",18,1,5,4,6
"R_3nUGGMivpcKHtWI",25,1,5,4,8
"R_3nj7Ghlqipm0AMh",25,1,5,4,7
"R_2rGhfaoW1rMLRNg",43,2,5,3,7
"R_3mjD4tiLisPSMbQ",32,1,5,5,5
"R_3fNm485OSDcCPcc",32,1,6,4,9
"R_2zZMR9aLeYI85ZD",27,1,5,5,8
"R_2wB3QCVYXYp5IKh",38,1,5,5,8
"R_3huJYm52HrhtwZq",28,2,5,5,6
"R_vjiV0MDa2ET0c4V",59,2,5,4,7
"R_26fJ0gZP771QxSJ",22,1,5,4,8
"R_zSe2HtF8t3CWVoJ",55,1,5,5,8
"R_8oYB7qf66yXRGmd",27,1,4,4,5
"R_2BbKOjxGMrRyrUJ",32,1,5,2,8
"R_2w0Q4cc6tSQCIoa",32,2,5,5,5
"R_2dPVTxUdDrwK6o4",30,2,5,6,7
"R_1OCcE5Z3fUUS5Ya",68,2,5,2,9
"R_vukSf7hX0XNuS53",26,2,1,5,7
"R_1JDFV3SzP0dTeCb",66,2,5,5,6
"R_2R9rrug5XOFPOoL",44,1,5,4,5
"R_2RVvKYAGMV5skj1",63,2,5,4,7
"R_3E9B0vHPFNsq03G",30,2,3,5,6
"R_yIb6KWKK5UcJNJf",24,2,5,5,7
"R_3kgJEWOXwxVpoqJ",21,1,5,4,4
"R_2SqOMwc9S82lwEn",27,1,5,4,9
"R_1PdXp4XlKJbfjXB",28,1,5,5,9
"R_vAh3brKGUVCEoc9",35,2,5,4,5
"R_3nMWzH2yTVmRABH",56,2,5,4,6
"R_6rloFpuAJXZv6qR",25,2,3,5,8
"R_4IW5K3BAxE6pjWx",46,1,5,6,6
"R_2TueLu6HKGHGuTv",28,1,5,6,6
"R_1ffp0k1dBnYkMRg",40,2,5,4,7
"R_26exFJBxyJkTxP1",27,1,5,4,8
"R_1QuBvp3w9Qvw1Xj",26,1,5,4,10
"R_20PB6MQ1XI7eNBr",30,1,5,5,6
"R_3q8WuNsEoK0cg0a",59,1,5,4,4
"R_XqaUENQNDcbeg8x",28,1,5,2,8
"R_2ro7hf3CiH3o0yk",44,1,5,5,5
"R_1eCAErbfUnZZnIq",26,1,5,4,5
"R_SV6DnG9vgcyHBRv",22,2,3,5,3
"R_24AG1hQqBMReZn8",41,1,5,5,5
"R_3EoiwxWKsPFW7ko",28,1,5,5,6
"R_3Rw7WnKtf7I7wdE",24,2,5,5,7
"R_325V9DpL2PuqxbP",21,1,2,4,7
"R_1hX1zH1gZGa5Twm",36,2,5,4,7
"R_3G7AawO4BMvAMEK",41,1,5,4,8
"R_2qC27HcpYC9rRan",18,1,5,4,7
"R_3ix90vULpPiSXu1",31,1,5,5,5
"R_ysysh4AxlXogxPj",29,2,3,4,8
"R_3OiSMqnCcfwEc0q",26,1,5,5,5
"R_xFNDlBf6u2C2pCF",38,2,1,4,7
"R_0CUMsnNEO6GZHpv",59,1,5,6,5
"R_1GCdMEwNfq166YK",29,1,2,4,9
"R_2z6zuRZt3gRBgjy",38,2,1,6,4
"R_1M5zxRJJXSrIrNT",26,2,5,6,6
"R_3qxwlDmKd1yaGBE",24,1,5,2,7
"R_a2Uq0Og3iel8P97",29,2,5,5,8
"R_3h5UxCF5bDAQ9pW",30,1,3,8,4
"R_3kjJqCaXF2UtriF",34,2,5,5,5
"R_3lLewRA8CQyZ4iY",22,1,5,5,7
"R_1Feus31bLNsUbgM",56,2,1,5,7
"R_1ltzNpKTPBXbPPR",29,1,2,5,7
"R_8IXbnotYqeVBUhH",29,2,5,2,6
"R_3O2EqbcIHPgSV5C",39,2,5,4,7
"R_1cTVTYWLjhzeD40",52,1,3,4,9
"R_2UbxdcjSKblCZ9a",52,1,3,2,5
"R_2rjfyDxHpS0q4XR",36,1,3,4,5
"R_24zV8MoyLlP2wrP",31,2,5,6,5
"R_1NFjqGmZexWuYRL",34,2,5,6,7
"R_3IYJY3WOy6QENBb",47,2,5,5,4
"R_2bQrCNUMO6kCRPZ",27,2,5,2,8
"R_XBbtGqoadfQt3eF",38,2,5,5,4
"R_2zHpQJKLwN5Ipyh",29,2,5,4,5
"R_5gx62STHogRFSkp",27,1,5,5,8
"R_2CHCfhQgPguI7pj",39,2,5,6,6
"R_1GvQ0GCXUZ0WQDi",22,1,5,5,8
"R_1NesxtDhwdqREqs",32,2,5,2,8
"R_1nUTErv7hoSlAuN",29,1,5,5,3
"R_2OI0Wqv41LUspwv",27,1,5,2,5
"R_2CyqVVKPeQi25Mw",23,1,1,3,8
"R_2fKclhR5ea8ib9N",24,1,5,5,6
"R_2ayvGdoMs6GxEtw",31,1,5,5,6
"R_1oAYlCKWBiiQ7yF",26,1,5,4,4
"R_ROatmJyg8srNGoN",28,2,3,4,7
"R_xhEeBYo0uTWJ2XD",22,1,5,4,7
"R_1CfDRCz0j6RhsyO",37,1,2,5,7
"R_1jwZUEn8BdPd1AU",29,1,5,8,5
"R_3pgrN1Ral8DbSQo",37,2,5,8,3
"R_3QLsMJY5GZSa1pZ",25,2,6,5,4
"R_817FaPDo8mQfuwh",28,1,5,5,6
"R_2zhwc7GSelqHD2A",49,2,1,5,5
"R_0eOp52padmLtsOZ",51,2,5,5,5
"R_UbaAw6wjX6BAeXv",21,1,5,2,7
"R_2Ck3XUT5Q9q1ouz",40,1,5,4,7
"R_2EcPlUcP8NDM6Vt",36,1,5,4,7
"R_31XWk7xdrEvvrjd",40,2,5,4,5
"R_R9biQ94RSSnYaXf",36,2,1,5,5
"R_U9nEiRZQlLhC28p",37,2,5,2,6
"R_sX38WM5MvrrQxTb",53,2,5,4,7
"R_1CjWALXTsLUrQk9",32,1,5,5,7
"R_3IXIxCOf8ZMK4Y9",31,1,5,4,3
"R_1GDoNVLg8DTGnvk",30,1,1,5,7
"R_2VCiJOGrtfyruYY",27,1,5,4,9
"R_BtdC3Sf4ZO0GbqF",56,1,5,4,6
"R_0iAwZVbqwBQQHM5",20,1,3,4,7
"R_vwtNBFJH9WLrr5n",31,2,5,6,4
"R_2B3gOCpkvF7tiIa",24,1,3,5,6
"R_3flwfR417HmxTNv",30,1,5,6,7
"R_2atVOHi95XnxDf3",30,1,5,5,8
"R_6F50IRjGxypYQV3",26,2,5,2,6
"R_6f08t4y4UBJFdlv",36,2,5,5,5
"R_41641MIS7CWKGD7",29,1,5,4,9
"R_3KPkur0Oyxqsa6b",53,1,5,4,8
"R_1CKkGJO21YP6uxt",31,1,1,5,7
"R_56gcyEo4JUILG9n",32,1,5,4,5
"R_24xj3EGTK9hrsx7",29,2,5,5,7
"R_03aNe2PiMLhEXyV",29,2,5,4,6
"R_2XmrwMk3gDrVF2U",49,2,5,2,6
"R_25uRWQ6cGMpQ9nt",34,1,5,6,8
"R_1KqFV2rgQz5aKFC",40,2,5,5,6
"R_2PAu03kSDDF1lje",31,2,5,3,8
"R_Rl88ytPvgxGOvyF",24,2,5,5,6
"R_pblxBtmWeEV6O2J",32,1,5,5,4
"R_3mh1Rw5w55JTjmR",37,2,5,4,8
"R_27POPW07PiQEERn",19,1,5,4,4
"R_1DORD1anmjVLe0O",28,2,5,5,6
"R_11cnCJlNF3Z7oPl",36,1,3,5,6
"R_2ocui1PIt5UWcjT",32,1,5,4,7
"R_2eQKQBpOPakUHXb",31,1,5,5,7
"R_2wjeUKdE9M9ClFU",24,2,5,4,9
"R_4Mcoy9kM3Vdcuw9",45,1,5,7,5
"R_32X7jgliCnUJVBJ",23,1,5,2,7
"R_1H1sKUAIOvYWRlY",36,1,5,4,5
"R_277fwClFmK5e9KS",26,2,3,8,6
