"subj","condCode","response","question","condition","norm","knowledge","outcome","scenario"
"R_qwstNkmCZDncnex","modal01.RKB",1,"Modal","RKB","Rational","Knowledge","Bad","01"
"R_1imxL31aVxgcj3K","modal01.RKB",2,"Modal","RKB","Rational","Knowledge","Bad","01"
"R_3LXWtY8gOBIAeW7","modal01.RKB",1,"Modal","RKB","Rational","Knowledge","Bad","01"
"R_1N82MSTnLu1L5BS","modal01.RKB",2,"Modal","RKB","Rational","Knowledge","Bad","01"
"R_1GNPUifrgPBMutY","modal01.RKB",1,"Modal","RKB","Rational","Knowledge","Bad","01"
"R_3hfLXxFQCOFHDhd","modal01.RKB",1,"Modal","RKB","Rational","Knowledge","Bad","01"
"R_2V4vMqxsKfCy981","modal01.RKB",1,"Modal","RKB","Rational","Knowledge","Bad","01"
"R_30f2EmuXwbX8glU","modal01.RKB",3,"Modal","RKB","Rational","Knowledge","Bad","01"
"R_1r6rftvmunezmgH","modal01.RKB",2,"Modal","RKB","Rational","Knowledge","Bad","01"
"R_1Q4uEktj55KDhzb","modal01.RKB",1,"Modal","RKB","Rational","Knowledge","Bad","01"
"R_3PsLGup4vkughbJ","modal01.RKB",1,"Modal","RKB","Rational","Knowledge","Bad","01"
"R_DtO9oubikR5IdAl","modal01.RKB",2,"Modal","RKB","Rational","Knowledge","Bad","01"
"R_1d6L5VGaQgiaKR2","modal01.RKB",1,"Modal","RKB","Rational","Knowledge","Bad","01"
"R_31QvDFlole4FKf1","modal01.RKB",1,"Modal","RKB","Rational","Knowledge","Bad","01"
"R_3iQ2uFmgUVAMYhS","modal01.RKB",2,"Modal","RKB","Rational","Knowledge","Bad","01"
"R_2DNTT8UC7LmQQ6g","modal01.RKB",1,"Modal","RKB","Rational","Knowledge","Bad","01"
"R_2Bs2OJTQ9pd2DFU","modal01.RKB",1,"Modal","RKB","Rational","Knowledge","Bad","01"
"R_8D3XIqs3yIUMlz3","modal01.RKB",1,"Modal","RKB","Rational","Knowledge","Bad","01"
"R_20NbRXnF8gDaVxw","modal01.RKB",1,"Modal","RKB","Rational","Knowledge","Bad","01"
"R_AdkC4SpPBDqEEa5","modal01.RKB",1,"Modal","RKB","Rational","Knowledge","Bad","01"
"R_3QKIU2vb5Bbxbzz","modal01.RKB",1,"Modal","RKB","Rational","Knowledge","Bad","01"
"R_3IbGjoZ8ghvyRLM","modal01.RKB",3,"Modal","RKB","Rational","Knowledge","Bad","01"
"R_1FPSl5PEjkbySIN","modal01.RKB",2,"Modal","RKB","Rational","Knowledge","Bad","01"
"R_1gGdR3WedEy1k7m","modal01.RKB",1,"Modal","RKB","Rational","Knowledge","Bad","01"
"R_qwstNkmCZDncnex","cfcon01.RKB",7,"Counterfactual","RKB","Rational","Knowledge","Bad","01"
"R_1imxL31aVxgcj3K","cfcon01.RKB",7,"Counterfactual","RKB","Rational","Knowledge","Bad","01"
"R_3LXWtY8gOBIAeW7","cfcon01.RKB",4,"Counterfactual","RKB","Rational","Knowledge","Bad","01"
"R_1N82MSTnLu1L5BS","cfcon01.RKB",1,"Counterfactual","RKB","Rational","Knowledge","Bad","01"
"R_1GNPUifrgPBMutY","cfcon01.RKB",1,"Counterfactual","RKB","Rational","Knowledge","Bad","01"
"R_3hfLXxFQCOFHDhd","cfcon01.RKB",1,"Counterfactual","RKB","Rational","Knowledge","Bad","01"
"R_2V4vMqxsKfCy981","cfcon01.RKB",1,"Counterfactual","RKB","Rational","Knowledge","Bad","01"
"R_30f2EmuXwbX8glU","cfcon01.RKB",1,"Counterfactual","RKB","Rational","Knowledge","Bad","01"
"R_1r6rftvmunezmgH","cfcon01.RKB",1,"Counterfactual","RKB","Rational","Knowledge","Bad","01"
"R_1Q4uEktj55KDhzb","cfcon01.RKB",1,"Counterfactual","RKB","Rational","Knowledge","Bad","01"
"R_3PsLGup4vkughbJ","cfcon01.RKB",1,"Counterfactual","RKB","Rational","Knowledge","Bad","01"
"R_DtO9oubikR5IdAl","cfcon01.RKB",2,"Counterfactual","RKB","Rational","Knowledge","Bad","01"
"R_1d6L5VGaQgiaKR2","cfcon01.RKB",1,"Counterfactual","RKB","Rational","Knowledge","Bad","01"
"R_31QvDFlole4FKf1","cfcon01.RKB",1,"Counterfactual","RKB","Rational","Knowledge","Bad","01"
"R_3iQ2uFmgUVAMYhS","cfcon01.RKB",2,"Counterfactual","RKB","Rational","Knowledge","Bad","01"
"R_2DNTT8UC7LmQQ6g","cfcon01.RKB",3,"Counterfactual","RKB","Rational","Knowledge","Bad","01"
"R_2Bs2OJTQ9pd2DFU","cfcon01.RKB",1,"Counterfactual","RKB","Rational","Knowledge","Bad","01"
"R_8D3XIqs3yIUMlz3","cfcon01.RKB",1,"Counterfactual","RKB","Rational","Knowledge","Bad","01"
"R_20NbRXnF8gDaVxw","cfcon01.RKB",1,"Counterfactual","RKB","Rational","Knowledge","Bad","01"
"R_AdkC4SpPBDqEEa5","cfcon01.RKB",1,"Counterfactual","RKB","Rational","Knowledge","Bad","01"
"R_3QKIU2vb5Bbxbzz","cfcon01.RKB",4,"Counterfactual","RKB","Rational","Knowledge","Bad","01"
"R_3IbGjoZ8ghvyRLM","cfcon01.RKB",2,"Counterfactual","RKB","Rational","Knowledge","Bad","01"
"R_1FPSl5PEjkbySIN","cfcon01.RKB",1,"Counterfactual","RKB","Rational","Knowledge","Bad","01"
"R_2zj86hFTqo01dmO","cfcon01.RKB",1,"Counterfactual","RKB","Rational","Knowledge","Bad","01"
"R_1gGdR3WedEy1k7m","cfcon01.RKB",1,"Counterfactual","RKB","Rational","Knowledge","Bad","01"
"R_cRYJlxKWMsxSXex","modal01.RIB",6,"Modal","RIB","Rational","Ignorance","Bad","01"
"R_O1muBpwwMSdwLXX","modal01.RIB",7,"Modal","RIB","Rational","Ignorance","Bad","01"
"R_1pG5mBtKIxnqGnO","modal01.RIB",1,"Modal","RIB","Rational","Ignorance","Bad","01"
"R_2zdsiAOc8eopgE4","modal01.RIB",3,"Modal","RIB","Rational","Ignorance","Bad","01"
"R_1DTpKBP583HFVLL","modal01.RIB",7,"Modal","RIB","Rational","Ignorance","Bad","01"
"R_W6elBmY4AViabeh","modal01.RIB",3,"Modal","RIB","Rational","Ignorance","Bad","01"
"R_1JD652cBs70EEKH","modal01.RIB",1,"Modal","RIB","Rational","Ignorance","Bad","01"
"R_2SJ5N5eWnwZU57B","modal01.RIB",4,"Modal","RIB","Rational","Ignorance","Bad","01"
"R_1mEPplXG1S1byZk","modal01.RIB",1,"Modal","RIB","Rational","Ignorance","Bad","01"
"R_3JEhmuK87kLkPFL","modal01.RIB",1,"Modal","RIB","Rational","Ignorance","Bad","01"
"R_21bI4ZZiA3PtlbD","modal01.RIB",7,"Modal","RIB","Rational","Ignorance","Bad","01"
"R_SIAQASYqIuxVDxL","modal01.RIB",1,"Modal","RIB","Rational","Ignorance","Bad","01"
"R_2uwxgqTXiofdep5","modal01.RIB",1,"Modal","RIB","Rational","Ignorance","Bad","01"
"R_r9B1eOLRtjW35Xb","modal01.RIB",6,"Modal","RIB","Rational","Ignorance","Bad","01"
"R_3hmfrCT3qgMGaw2","modal01.RIB",2,"Modal","RIB","Rational","Ignorance","Bad","01"
"R_12uqGUOWaJ4H6y2","modal01.RIB",1,"Modal","RIB","Rational","Ignorance","Bad","01"
"R_esNTPe1gGUGLn1P","modal01.RIB",1,"Modal","RIB","Rational","Ignorance","Bad","01"
"R_3lVVu8jKcFBYfct","modal01.RIB",1,"Modal","RIB","Rational","Ignorance","Bad","01"
"R_rpfI4aHaCJx46Tn","modal01.RIB",1,"Modal","RIB","Rational","Ignorance","Bad","01"
"R_2AEvrCWHyDaqQGW","modal01.RIB",3,"Modal","RIB","Rational","Ignorance","Bad","01"
"R_2QRK0cLaIiK4FuW","modal01.RIB",2,"Modal","RIB","Rational","Ignorance","Bad","01"
"R_vrbxBSNlMdLfVcJ","modal01.RIB",1,"Modal","RIB","Rational","Ignorance","Bad","01"
"R_2VvC2xLg94Bhj4w","modal01.RIB",6,"Modal","RIB","Rational","Ignorance","Bad","01"
"R_AoNTi0LvJ8JhHHP","modal01.RIB",3,"Modal","RIB","Rational","Ignorance","Bad","01"
"R_1IMcijtD842i3aC","modal01.RIB",1,"Modal","RIB","Rational","Ignorance","Bad","01"
"R_cRYJlxKWMsxSXex","cfcon01.RIB",5,"Counterfactual","RIB","Rational","Ignorance","Bad","01"
"R_O1muBpwwMSdwLXX","cfcon01.RIB",4,"Counterfactual","RIB","Rational","Ignorance","Bad","01"
"R_1pG5mBtKIxnqGnO","cfcon01.RIB",1,"Counterfactual","RIB","Rational","Ignorance","Bad","01"
"R_2zdsiAOc8eopgE4","cfcon01.RIB",6,"Counterfactual","RIB","Rational","Ignorance","Bad","01"
"R_1DTpKBP583HFVLL","cfcon01.RIB",6,"Counterfactual","RIB","Rational","Ignorance","Bad","01"
"R_W6elBmY4AViabeh","cfcon01.RIB",2,"Counterfactual","RIB","Rational","Ignorance","Bad","01"
"R_1JD652cBs70EEKH","cfcon01.RIB",2,"Counterfactual","RIB","Rational","Ignorance","Bad","01"
"R_2SJ5N5eWnwZU57B","cfcon01.RIB",2,"Counterfactual","RIB","Rational","Ignorance","Bad","01"
"R_1mEPplXG1S1byZk","cfcon01.RIB",1,"Counterfactual","RIB","Rational","Ignorance","Bad","01"
"R_3JEhmuK87kLkPFL","cfcon01.RIB",1,"Counterfactual","RIB","Rational","Ignorance","Bad","01"
"R_21bI4ZZiA3PtlbD","cfcon01.RIB",3,"Counterfactual","RIB","Rational","Ignorance","Bad","01"
"R_SIAQASYqIuxVDxL","cfcon01.RIB",1,"Counterfactual","RIB","Rational","Ignorance","Bad","01"
"R_2uwxgqTXiofdep5","cfcon01.RIB",4,"Counterfactual","RIB","Rational","Ignorance","Bad","01"
"R_r9B1eOLRtjW35Xb","cfcon01.RIB",2,"Counterfactual","RIB","Rational","Ignorance","Bad","01"
"R_3hmfrCT3qgMGaw2","cfcon01.RIB",5,"Counterfactual","RIB","Rational","Ignorance","Bad","01"
"R_12uqGUOWaJ4H6y2","cfcon01.RIB",1,"Counterfactual","RIB","Rational","Ignorance","Bad","01"
"R_esNTPe1gGUGLn1P","cfcon01.RIB",1,"Counterfactual","RIB","Rational","Ignorance","Bad","01"
"R_3lVVu8jKcFBYfct","cfcon01.RIB",1,"Counterfactual","RIB","Rational","Ignorance","Bad","01"
"R_rpfI4aHaCJx46Tn","cfcon01.RIB",1,"Counterfactual","RIB","Rational","Ignorance","Bad","01"
"R_2AEvrCWHyDaqQGW","cfcon01.RIB",2,"Counterfactual","RIB","Rational","Ignorance","Bad","01"
"R_2QRK0cLaIiK4FuW","cfcon01.RIB",4,"Counterfactual","RIB","Rational","Ignorance","Bad","01"
"R_vrbxBSNlMdLfVcJ","cfcon01.RIB",1,"Counterfactual","RIB","Rational","Ignorance","Bad","01"
"R_2VvC2xLg94Bhj4w","cfcon01.RIB",1,"Counterfactual","RIB","Rational","Ignorance","Bad","01"
"R_AoNTi0LvJ8JhHHP","cfcon01.RIB",3,"Counterfactual","RIB","Rational","Ignorance","Bad","01"
"R_1IMcijtD842i3aC","cfcon01.RIB",1,"Counterfactual","RIB","Rational","Ignorance","Bad","01"
"R_31vgs7oEcAUUBCK","modal01.MKB",1,"Modal","MKB","Moral","Knowledge","Bad","01"
"R_3smqMd6i0nnfVrs","modal01.MKB",1,"Modal","MKB","Moral","Knowledge","Bad","01"
"R_2fI36SyrV14lYrh","modal01.MKB",1,"Modal","MKB","Moral","Knowledge","Bad","01"
"R_8D2pEXgecD6VZjb","modal01.MKB",1,"Modal","MKB","Moral","Knowledge","Bad","01"
"R_2D1f7ZKCD0Y9Yny","modal01.MKB",1,"Modal","MKB","Moral","Knowledge","Bad","01"
"R_PzcHZuk8JeKFzMd","modal01.MKB",1,"Modal","MKB","Moral","Knowledge","Bad","01"
"R_2VHAkug4rTJGOs4","modal01.MKB",4,"Modal","MKB","Moral","Knowledge","Bad","01"
"R_XzjyG1lK7fthkZj","modal01.MKB",1,"Modal","MKB","Moral","Knowledge","Bad","01"
"R_2fJUuROj6MseEX5","modal01.MKB",2,"Modal","MKB","Moral","Knowledge","Bad","01"
"R_2pQ7O3y4jPY96s3","modal01.MKB",1,"Modal","MKB","Moral","Knowledge","Bad","01"
"R_1PTT7UhdFcvEKmy","modal01.MKB",1,"Modal","MKB","Moral","Knowledge","Bad","01"
"R_cNnY3VvHshfc21r","modal01.MKB",5,"Modal","MKB","Moral","Knowledge","Bad","01"
"R_xlJn1owsf7H4bYJ","modal01.MKB",7,"Modal","MKB","Moral","Knowledge","Bad","01"
"R_2tfIYrx749HK8CG","modal01.MKB",1,"Modal","MKB","Moral","Knowledge","Bad","01"
"R_1kHdFYJwzb06Ex5","modal01.MKB",1,"Modal","MKB","Moral","Knowledge","Bad","01"
"R_Amt9Sdjudt252Qp","modal01.MKB",1,"Modal","MKB","Moral","Knowledge","Bad","01"
"R_1IshVKNKN1LgoEP","modal01.MKB",1,"Modal","MKB","Moral","Knowledge","Bad","01"
"R_2arz4qxo4Baj1Sh","modal01.MKB",1,"Modal","MKB","Moral","Knowledge","Bad","01"
"R_2zLQcLTZqcn8rk0","modal01.MKB",4,"Modal","MKB","Moral","Knowledge","Bad","01"
"R_0oKFDodUqoeqoyB","modal01.MKB",3,"Modal","MKB","Moral","Knowledge","Bad","01"
"R_1mJgjKIrGA3czPW","modal01.MKB",1,"Modal","MKB","Moral","Knowledge","Bad","01"
"R_7R37HsxcVJrVmqB","modal01.MKB",1,"Modal","MKB","Moral","Knowledge","Bad","01"
"R_2AZERoMQvlU7h9H","modal01.MKB",1,"Modal","MKB","Moral","Knowledge","Bad","01"
"R_1Qg852HQQx1vtOy","modal01.MKB",1,"Modal","MKB","Moral","Knowledge","Bad","01"
"R_1QhKOwI30KI1xeF","modal01.MKB",1,"Modal","MKB","Moral","Knowledge","Bad","01"
"R_2CevzaEKHQAo5RF","modal01.MKB",1,"Modal","MKB","Moral","Knowledge","Bad","01"
"R_31vgs7oEcAUUBCK","cfcon01.MKB",3,"Counterfactual","MKB","Moral","Knowledge","Bad","01"
"R_3smqMd6i0nnfVrs","cfcon01.MKB",1,"Counterfactual","MKB","Moral","Knowledge","Bad","01"
"R_2fI36SyrV14lYrh","cfcon01.MKB",1,"Counterfactual","MKB","Moral","Knowledge","Bad","01"
"R_8D2pEXgecD6VZjb","cfcon01.MKB",1,"Counterfactual","MKB","Moral","Knowledge","Bad","01"
"R_2D1f7ZKCD0Y9Yny","cfcon01.MKB",2,"Counterfactual","MKB","Moral","Knowledge","Bad","01"
"R_PzcHZuk8JeKFzMd","cfcon01.MKB",1,"Counterfactual","MKB","Moral","Knowledge","Bad","01"
"R_2VHAkug4rTJGOs4","cfcon01.MKB",3,"Counterfactual","MKB","Moral","Knowledge","Bad","01"
"R_XzjyG1lK7fthkZj","cfcon01.MKB",1,"Counterfactual","MKB","Moral","Knowledge","Bad","01"
"R_2fJUuROj6MseEX5","cfcon01.MKB",2,"Counterfactual","MKB","Moral","Knowledge","Bad","01"
"R_2pQ7O3y4jPY96s3","cfcon01.MKB",3,"Counterfactual","MKB","Moral","Knowledge","Bad","01"
"R_1PTT7UhdFcvEKmy","cfcon01.MKB",4,"Counterfactual","MKB","Moral","Knowledge","Bad","01"
"R_cNnY3VvHshfc21r","cfcon01.MKB",6,"Counterfactual","MKB","Moral","Knowledge","Bad","01"
"R_xlJn1owsf7H4bYJ","cfcon01.MKB",1,"Counterfactual","MKB","Moral","Knowledge","Bad","01"
"R_2tfIYrx749HK8CG","cfcon01.MKB",1,"Counterfactual","MKB","Moral","Knowledge","Bad","01"
"R_1kHdFYJwzb06Ex5","cfcon01.MKB",1,"Counterfactual","MKB","Moral","Knowledge","Bad","01"
"R_Amt9Sdjudt252Qp","cfcon01.MKB",2,"Counterfactual","MKB","Moral","Knowledge","Bad","01"
"R_1IshVKNKN1LgoEP","cfcon01.MKB",1,"Counterfactual","MKB","Moral","Knowledge","Bad","01"
"R_2arz4qxo4Baj1Sh","cfcon01.MKB",2,"Counterfactual","MKB","Moral","Knowledge","Bad","01"
"R_2zLQcLTZqcn8rk0","cfcon01.MKB",4,"Counterfactual","MKB","Moral","Knowledge","Bad","01"
"R_0oKFDodUqoeqoyB","cfcon01.MKB",3,"Counterfactual","MKB","Moral","Knowledge","Bad","01"
"R_1mJgjKIrGA3czPW","cfcon01.MKB",1,"Counterfactual","MKB","Moral","Knowledge","Bad","01"
"R_7R37HsxcVJrVmqB","cfcon01.MKB",1,"Counterfactual","MKB","Moral","Knowledge","Bad","01"
"R_2AZERoMQvlU7h9H","cfcon01.MKB",3,"Counterfactual","MKB","Moral","Knowledge","Bad","01"
"R_1Qg852HQQx1vtOy","cfcon01.MKB",1,"Counterfactual","MKB","Moral","Knowledge","Bad","01"
"R_1QhKOwI30KI1xeF","cfcon01.MKB",1,"Counterfactual","MKB","Moral","Knowledge","Bad","01"
"R_2CevzaEKHQAo5RF","cfcon01.MKB",1,"Counterfactual","MKB","Moral","Knowledge","Bad","01"
"R_2qDT71gLL4Hk6vv","modal01.MIB",1,"Modal","MIB","Moral","Ignorance","Bad","01"
"R_1kXno4YA9fN2u8R","modal01.MIB",1,"Modal","MIB","Moral","Ignorance","Bad","01"
"R_Di8zhIWOlKCczu1","modal01.MIB",3,"Modal","MIB","Moral","Ignorance","Bad","01"
"R_1LZPsGQwhnK5uI7","modal01.MIB",1,"Modal","MIB","Moral","Ignorance","Bad","01"
"R_p6Lz0W0CznGD5cd","modal01.MIB",1,"Modal","MIB","Moral","Ignorance","Bad","01"
"R_eJyWjB3Dc3WPwM9","modal01.MIB",1,"Modal","MIB","Moral","Ignorance","Bad","01"
"R_3MhcvekzVVQmq9K","modal01.MIB",1,"Modal","MIB","Moral","Ignorance","Bad","01"
"R_1mmEf6xTqE8g0oR","modal01.MIB",1,"Modal","MIB","Moral","Ignorance","Bad","01"
"R_1mdUzu10MnDZeEq","modal01.MIB",1,"Modal","MIB","Moral","Ignorance","Bad","01"
"R_1g79WCSHXjX1Oum","modal01.MIB",4,"Modal","MIB","Moral","Ignorance","Bad","01"
"R_cMSuiMRDel77KBb","modal01.MIB",1,"Modal","MIB","Moral","Ignorance","Bad","01"
"R_24B23RNPE8oUKnE","modal01.MIB",2,"Modal","MIB","Moral","Ignorance","Bad","01"
"R_3IQ5KJYT3Mwl0hl","modal01.MIB",1,"Modal","MIB","Moral","Ignorance","Bad","01"
"R_3qKZVz0OqqpWkbb","modal01.MIB",1,"Modal","MIB","Moral","Ignorance","Bad","01"
"R_3PgZdRYgH3xkE6p","modal01.MIB",1,"Modal","MIB","Moral","Ignorance","Bad","01"
"R_22t8qaFSNOW6NaY","modal01.MIB",1,"Modal","MIB","Moral","Ignorance","Bad","01"
"R_uq9GmqjJUiccgXD","modal01.MIB",4,"Modal","MIB","Moral","Ignorance","Bad","01"
"R_7WllRKNyTuIG7QJ","modal01.MIB",1,"Modal","MIB","Moral","Ignorance","Bad","01"
"R_117KJMGbhP4kjhM","modal01.MIB",2,"Modal","MIB","Moral","Ignorance","Bad","01"
"R_qFnm0Hn6XktUxTH","modal01.MIB",1,"Modal","MIB","Moral","Ignorance","Bad","01"
"R_2E3Sf1eabVPNIOa","modal01.MIB",1,"Modal","MIB","Moral","Ignorance","Bad","01"
"R_vcojCNrIffrYfCN","modal01.MIB",1,"Modal","MIB","Moral","Ignorance","Bad","01"
"R_xDwF4DqsMfNgcPn","modal01.MIB",2,"Modal","MIB","Moral","Ignorance","Bad","01"
"R_2dX5vjScs3dhAvA","cfcon01.MIB",3,"Counterfactual","MIB","Moral","Ignorance","Bad","01"
"R_2qDT71gLL4Hk6vv","cfcon01.MIB",2,"Counterfactual","MIB","Moral","Ignorance","Bad","01"
"R_1kXno4YA9fN2u8R","cfcon01.MIB",4,"Counterfactual","MIB","Moral","Ignorance","Bad","01"
"R_Di8zhIWOlKCczu1","cfcon01.MIB",4,"Counterfactual","MIB","Moral","Ignorance","Bad","01"
"R_1LZPsGQwhnK5uI7","cfcon01.MIB",2,"Counterfactual","MIB","Moral","Ignorance","Bad","01"
"R_p6Lz0W0CznGD5cd","cfcon01.MIB",1,"Counterfactual","MIB","Moral","Ignorance","Bad","01"
"R_eJyWjB3Dc3WPwM9","cfcon01.MIB",1,"Counterfactual","MIB","Moral","Ignorance","Bad","01"
"R_3MhcvekzVVQmq9K","cfcon01.MIB",1,"Counterfactual","MIB","Moral","Ignorance","Bad","01"
"R_1mmEf6xTqE8g0oR","cfcon01.MIB",1,"Counterfactual","MIB","Moral","Ignorance","Bad","01"
"R_1mdUzu10MnDZeEq","cfcon01.MIB",3,"Counterfactual","MIB","Moral","Ignorance","Bad","01"
"R_1g79WCSHXjX1Oum","cfcon01.MIB",6,"Counterfactual","MIB","Moral","Ignorance","Bad","01"
"R_cMSuiMRDel77KBb","cfcon01.MIB",1,"Counterfactual","MIB","Moral","Ignorance","Bad","01"
"R_24B23RNPE8oUKnE","cfcon01.MIB",2,"Counterfactual","MIB","Moral","Ignorance","Bad","01"
"R_3IQ5KJYT3Mwl0hl","cfcon01.MIB",1,"Counterfactual","MIB","Moral","Ignorance","Bad","01"
"R_3qKZVz0OqqpWkbb","cfcon01.MIB",2,"Counterfactual","MIB","Moral","Ignorance","Bad","01"
"R_3PgZdRYgH3xkE6p","cfcon01.MIB",1,"Counterfactual","MIB","Moral","Ignorance","Bad","01"
"R_22t8qaFSNOW6NaY","cfcon01.MIB",1,"Counterfactual","MIB","Moral","Ignorance","Bad","01"
"R_uq9GmqjJUiccgXD","cfcon01.MIB",2,"Counterfactual","MIB","Moral","Ignorance","Bad","01"
"R_7WllRKNyTuIG7QJ","cfcon01.MIB",4,"Counterfactual","MIB","Moral","Ignorance","Bad","01"
"R_117KJMGbhP4kjhM","cfcon01.MIB",3,"Counterfactual","MIB","Moral","Ignorance","Bad","01"
"R_qFnm0Hn6XktUxTH","cfcon01.MIB",2,"Counterfactual","MIB","Moral","Ignorance","Bad","01"
"R_2E3Sf1eabVPNIOa","cfcon01.MIB",1,"Counterfactual","MIB","Moral","Ignorance","Bad","01"
"R_vcojCNrIffrYfCN","cfcon01.MIB",1,"Counterfactual","MIB","Moral","Ignorance","Bad","01"
"R_xDwF4DqsMfNgcPn","cfcon01.MIB",3,"Counterfactual","MIB","Moral","Ignorance","Bad","01"
"R_1oI0U4y4giW2UL8","modal01.RKG",2,"Modal","RKG","Rational","Knowledge","Good","01"
"R_eyRTSh4XcbdimQ1","modal01.RKG",6,"Modal","RKG","Rational","Knowledge","Good","01"
"R_3iVUZDZ6Xsj4GZd","modal01.RKG",1,"Modal","RKG","Rational","Knowledge","Good","01"
"R_8wT6budSaGnIHXb","modal01.RKG",1,"Modal","RKG","Rational","Knowledge","Good","01"
"R_1isdeGaE6xlU1wU","modal01.RKG",4,"Modal","RKG","Rational","Knowledge","Good","01"
"R_1fcLslsYDzHkPkX","modal01.RKG",2,"Modal","RKG","Rational","Knowledge","Good","01"
"R_332ACriUFOPwkKD","modal01.RKG",1,"Modal","RKG","Rational","Knowledge","Good","01"
"R_3j06XDAEQQt4jr7","modal01.RKG",1,"Modal","RKG","Rational","Knowledge","Good","01"
"R_3gZ5FnxZ8ETqMGq","modal01.RKG",1,"Modal","RKG","Rational","Knowledge","Good","01"
"R_9WVgRxGzYl020qR","modal01.RKG",1,"Modal","RKG","Rational","Knowledge","Good","01"
"R_BM1ZuHybXwizrvr","modal01.RKG",4,"Modal","RKG","Rational","Knowledge","Good","01"
"R_1FRtHoVcApPfjiM","modal01.RKG",2,"Modal","RKG","Rational","Knowledge","Good","01"
"R_3gSZJBI6KHBPEV1","modal01.RKG",1,"Modal","RKG","Rational","Knowledge","Good","01"
"R_3isc8N8zrArMolr","modal01.RKG",2,"Modal","RKG","Rational","Knowledge","Good","01"
"R_29mnmtAbEKgctEK","modal01.RKG",1,"Modal","RKG","Rational","Knowledge","Good","01"
"R_3Lejh1X7VLYJzFx","modal01.RKG",1,"Modal","RKG","Rational","Knowledge","Good","01"
"R_WBWvbEjSABZO7Dz","modal01.RKG",1,"Modal","RKG","Rational","Knowledge","Good","01"
"R_2Xilbtw1C0b1a1V","modal01.RKG",1,"Modal","RKG","Rational","Knowledge","Good","01"
"R_3PRxXiFanpRuuUd","modal01.RKG",4,"Modal","RKG","Rational","Knowledge","Good","01"
"R_3qqIQqWcBt9sUBH","modal01.RKG",1,"Modal","RKG","Rational","Knowledge","Good","01"
"R_2viUaPPHtmxjlJh","modal01.RKG",1,"Modal","RKG","Rational","Knowledge","Good","01"
"R_3qkRM6NEe9FKRsH","modal01.RKG",1,"Modal","RKG","Rational","Knowledge","Good","01"
"R_3mgJhsaf37ZYsje","modal01.RKG",1,"Modal","RKG","Rational","Knowledge","Good","01"
"R_3Kon1jEqQzgGuVB","modal01.RKG",1,"Modal","RKG","Rational","Knowledge","Good","01"
"R_1oI0U4y4giW2UL8","cfcon01.RKG",5,"Counterfactual","RKG","Rational","Knowledge","Good","01"
"R_eyRTSh4XcbdimQ1","cfcon01.RKG",2,"Counterfactual","RKG","Rational","Knowledge","Good","01"
"R_3iVUZDZ6Xsj4GZd","cfcon01.RKG",6,"Counterfactual","RKG","Rational","Knowledge","Good","01"
"R_8wT6budSaGnIHXb","cfcon01.RKG",3,"Counterfactual","RKG","Rational","Knowledge","Good","01"
"R_1isdeGaE6xlU1wU","cfcon01.RKG",4,"Counterfactual","RKG","Rational","Knowledge","Good","01"
"R_1fcLslsYDzHkPkX","cfcon01.RKG",4,"Counterfactual","RKG","Rational","Knowledge","Good","01"
"R_332ACriUFOPwkKD","cfcon01.RKG",1,"Counterfactual","RKG","Rational","Knowledge","Good","01"
"R_3j06XDAEQQt4jr7","cfcon01.RKG",4,"Counterfactual","RKG","Rational","Knowledge","Good","01"
"R_3gZ5FnxZ8ETqMGq","cfcon01.RKG",7,"Counterfactual","RKG","Rational","Knowledge","Good","01"
"R_9WVgRxGzYl020qR","cfcon01.RKG",2,"Counterfactual","RKG","Rational","Knowledge","Good","01"
"R_BM1ZuHybXwizrvr","cfcon01.RKG",5,"Counterfactual","RKG","Rational","Knowledge","Good","01"
"R_3er8NGLub9PKygR","cfcon01.RKG",3,"Counterfactual","RKG","Rational","Knowledge","Good","01"
"R_1FRtHoVcApPfjiM","cfcon01.RKG",4,"Counterfactual","RKG","Rational","Knowledge","Good","01"
"R_3gSZJBI6KHBPEV1","cfcon01.RKG",1,"Counterfactual","RKG","Rational","Knowledge","Good","01"
"R_3isc8N8zrArMolr","cfcon01.RKG",2,"Counterfactual","RKG","Rational","Knowledge","Good","01"
"R_29mnmtAbEKgctEK","cfcon01.RKG",4,"Counterfactual","RKG","Rational","Knowledge","Good","01"
"R_3Lejh1X7VLYJzFx","cfcon01.RKG",1,"Counterfactual","RKG","Rational","Knowledge","Good","01"
"R_WBWvbEjSABZO7Dz","cfcon01.RKG",4,"Counterfactual","RKG","Rational","Knowledge","Good","01"
"R_2Xilbtw1C0b1a1V","cfcon01.RKG",4,"Counterfactual","RKG","Rational","Knowledge","Good","01"
"R_3PRxXiFanpRuuUd","cfcon01.RKG",6,"Counterfactual","RKG","Rational","Knowledge","Good","01"
"R_3qqIQqWcBt9sUBH","cfcon01.RKG",2,"Counterfactual","RKG","Rational","Knowledge","Good","01"
"R_2viUaPPHtmxjlJh","cfcon01.RKG",4,"Counterfactual","RKG","Rational","Knowledge","Good","01"
"R_3qkRM6NEe9FKRsH","cfcon01.RKG",2,"Counterfactual","RKG","Rational","Knowledge","Good","01"
"R_3mgJhsaf37ZYsje","cfcon01.RKG",2,"Counterfactual","RKG","Rational","Knowledge","Good","01"
